ID,designation_header,strain_number_header,is_type_strain_header,species,domain,phylum,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID
,,,,,,,microaerophile,1018.113,1018
,,,,,,,,1018.114,1018
,,,,,,,,1018.116,1018
,,,,,,,,521097.5,521097
,,,,,,,,644736338,521097
5489,25,"DSM 7272, ATCC 33596, CCUG 15407, LMG 11546",0,Capnocytophaga ochracea,Bacteria,Bacteroidota,anaerobe,1018.115,1018
,,,,,,,,1018.117,1018
5490,4,"CCUG 9714, NCTC 11653, LMG 11518, CIP 104301, DSM 7273, ATCC 33612, CIP 110086, DSM 3292, JCM 12967, VPI 12913",1,Capnocytophaga sputigena,Bacteria,Bacteroidota,anaerobe,1019.49,1019
,,,,,,,facultative anaerobe,2814123397,1019
,,,,,,,microaerophile,553177.6,553177
,,,,,,,,642979305,553177
16791,JM,"DSM 12653, ATCC BAA-271",1,Carboxydibrachium pacificum,Bacteria,Bacillota,anaerobe,391606.3,391606
,,,,,,,,647533123,391606
17980,Kar,"DSM 16521, VKM B-2358",1,Carboxydocella sporoproducens,Bacteria,Bacillota,anaerobe,1121270.4,1121270
,,,,,,,facultative anaerobe,2568526009,1121270
16807,JW/AS-Y7,"DSM 11255, VKM B-2392",1,Carboxydothermus ferrireducens,Bacteria,Bacillota,anaerobe,1119529.5,1119529
,,,,,,,,1119529.9,1119529
,,,,,,,,2510065088,1119529
,,,,,,,,2844895905,1119529
16806,Z-2901,"DSM 6008, ATCC BAA-161",1,Carboxydothermus hydrogenoformans,Bacteria,Bacillota,anaerobe,246194.6,246194
,,,,,,,,637000060,246194
16810,Ug1,"DSM 23698, NBRC 107576",1,Carboxydothermus pertinax,Bacteria,Bacillota,anaerobe,2832181228,870242
2233,6573,"DSM 8339, ATCC 15826, NCTC 10426, CCUG 2711, CIP 70.70, CCM 2654, LMG 3916",1,Cardiobacterium hominis,Bacteria,Pseudomonadota,microaerophile,2718.61,2718
,,,,,,,,638300.3,638300
,,,,,,,,645951819,638300
2234,,"DSM 17211, ATCC BAA-694, CCUG 48245, CIP 108480, MDA 3079, NCTC 13294",1,Cardiobacterium valvarum,Bacteria,Pseudomonadota,anaerobe,194702.3,194702
,,,,,,,microaerophile,2808606637,194702
164552,SCR17,"JCM 33426, MCCC 1K03732",1,Carideicomes alvinocaridis,Bacteria,Pseudomonadota,aerobe,SRJI00000000,2541728
2266,pf4,"DSM 5972, ACAM 313, ATCC 49837, CCUG 34643, IFO 15548, CIP 105796",1,Carnobacterium alterfunditum,Bacteria,Bacillota,aerobe,1449335.3,1449335
,,,,,,,facultative anaerobe,2574179752,28230
,,,,,,,obligate aerobe,,
2253,66,"DSM 20623, ATCC 35677, NCDO 2763, WDCM 00075, CCUG 30094, CCM 4117, JCM 5816, BCRC 14042, CECT 4016, CIP 101029, IFO 15683, JCM 9133, KCTC 3675, LMG 9199, NBRC 15683, NCIMB 11952, NRIC 1629, NRRL B-14830, VTT E-97850",1,Carnobacterium divergens,Bacteria,Bacillota,facultative anaerobe,1449336.3,1449336
,,,,,,,microaerophile,1449336.4,1449336
,,,,,,,obligate aerobe,2574180433,2748
,,,,,,,,2700989267,1449336
2264,pf3,"CCUG 34644, IFO 15549, DSM 5970, ACAM 312, ATCC 49836, JCM 12499, CIP 106503, LMG 13519, LMG 14461, NBRC 15549, NCFB 3002, NCIMB 13247",1,Carnobacterium funditum,Bacteria,Bacillota,facultative anaerobe,1449337.3,1449337
,,,,,,,,2574179782,2752
2255,"MT44, MT 44","DSM 4847, ATCC 49517, NCFB 2766, CCUG 30095, CCM 4114, LMG 9841, CIP 103160, JCM 12517, CECT 5958, NCCB 91132, NCIMB 12848, NRRL B-14832",1,Carnobacterium gallinarum,Bacteria,Bacillota,aerobe,1449338.3,1449338
,,,,,,,facultative anaerobe,2576861831,2749
23826,,"DSM 28070, CCUG 62000, LMG 26642, JCM 31128",1,Carnobacterium iners,Bacteria,Bacillota,facultative anaerobe,1073423.3,1073423
,,,,,,,obligate aerobe,1073423.4,1073423
,,,,,,,,2622736582,1073423
,,,,,,,,2622736627,1073423
23825,WN1359,"DSM 27470, ATCC BAA-2557",1,Carnobacterium inhibens subsp. gilichinskyi,Bacteria,Bacillota,microaerophile,1266845.11,1266845
,,,,,,,,1266845.12,1266845
,,,,,,,,1266845.13,1266845
,,,,,,,,1266845.14,1266845
,,,,,,,,1266845.15,1266845
,,,,,,,,2563366580,147709
2268,K1,"DSM 13024, CCUG 31728, CIP 106863, JCM 12490, JCM 16168, CCM 7006, CECT 5963",1,Carnobacterium inhibens subsp. inhibens,Bacteria,Bacillota,facultative anaerobe,1449339.3,1449339
,,,,,,,microaerophile,2574179783,1449339
,,,,,,,obligate aerobe,,
2271,MS3,"DSM 23388, JCM 15539, KCTC 13251",1,Carnobacterium jeotgali,Bacteria,Bacillota,facultative anaerobe,1449340.3,1449340
,,,,,,,microaerophile,2579778522,545534
,,,,,,,,2585427852,545534
2258,"MX 5, MX5","DSM 20342, ATCC 27865, CCUG 30142, LMG 6903, JCM 1154, BCRC 14054, CECT 4134, CIP 103135, KCTC 3602, NCFB 2382, NCIMB 11966, NRIC 1691, NRRL B-14852, NCDO 2382",1,Carnobacterium maltaromaticum,Bacteria,Bacillota,aerobe,1449341.3,1449341
,,,,,,,facultative anaerobe,1449341.4,1449341
,,,,,,,microaerophile,2579778520,2751
,,,,,,,,2700989263,1449341
2262,LV61,"DSM 20722, ATCC 43225, NCDO 2764, JCM 9135, CIP 103043",0,Carnobacterium maltaromaticum,Bacteria,Bacillota,facultative anaerobe,2700989269,2751
,,,,,,,obligate aerobe,2751.33,2751
2256,"C496, MT37L, MT 37L","DSM 4848, ATCC 49516, NCFB 2765, CCUG 30096, CCM 4112, JCM 12516, CECT 5959, CIP 103159, LMG 9842, NCIMB 12847, NRRL B-14831",1,Carnobacterium mobile,Bacteria,Bacillota,microaerophile,1449342.3,1449342
,,,,,,,,2576861400,2750
2269,MPL-11,"DSM 14451, ATCC BAA-336, JCM 12222, CIP 107728",1,Carnobacterium viridans,Bacteria,Bacillota,facultative anaerobe,174587.3,174587
,,,,,,,,2634166280,174587
346,"54Pin, 54 Pin","DSM 12141, CCUG 39790, CIP 105602, LMG 18538",1,Castellaniella defragrans,Bacteria,Pseudomonadota,aerobe,2861677110,75697
,,,,,,,obligate aerobe,75697.1,75697
,,,,,,,,75697.11,75697
344,65Phen,"CCUG 39792, DSM 12143, CIP 105603",0,Castellaniella defragrans,Bacteria,Pseudomonadota,aerobe,1437824.5,1437824
,,,,,,,obligate aerobe,2619619095,1437824
7856,2-70(23),"DSM 44899, JCM 12949, NBRC 107357, CGMCC 4.5498, CIP 109161",1,Catellatospora bangladeshensis,Bacteria,Actinomycetota,aerobe,310355.3,310355
,,,,,,,obligate aerobe,,
7857,2-25(1),"DSM 44900, JCM 12950, NBRC 107358, CGMCC 4.5499, CIP 109162",1,Catellatospora chokoriensis,Bacteria,Actinomycetota,aerobe,310353.4,310353
,,,,,,,obligate aerobe,,
7858,2-29(17),"DSM 44901, JCM 12951, NBRC 107359, CIP 109163",1,Catellatospora coxensis,Bacteria,Actinomycetota,aerobe,310354.3,310354
,,,,,,,obligate aerobe,,
139755,CG19-1,"DSM 106146, CCUG 71490, JCM 33534",1,Catenibacillus scindens,Bacteria,Bacillota,anaerobe,2861335840,673271
,,,,,,,facultative anaerobe,673271.3,673271
5366,RCA14-39,"DSM 15897, CIP 106738, JCM 10609",1,Catenibacterium mitsuokai,Bacteria,Bacillota,anaerobe,100886.347,100886
,,,,,,,,451640.67,451640
,,,,,,,,643886110,451640
17636,ID 139908,"DSM 44928, NRRL B-24433, JCM 14897, BCRC 16841, CIP 109381, NBRC 102108",1,Catenulispora acidiphila,Bacteria,Actinomycetota,aerobe,479433.5,479433
,,,,,,,facultative anaerobe,644736339,479433
,,,,,,,obligate aerobe,,
17637,Aac-30,"DSM 44948, JCM 16000, NBRC 101179",1,Catenulispora rubra,Bacteria,Actinomycetota,aerobe,280293.3,280293
,,,,,,,obligate aerobe,,
2326,CB 4,"DSM 4730, ATCC 15253, CCUG 49339, LMG 18392, CIP 106446",1,Caulobacter henricii,Bacteria,Pseudomonadota,aerobe,69395.1,69395
,,,,,,,,69395.9,69395
140721,THG-AG3.4,"KACC 18849, CCTCC AB 2016077, CCUG 72326",0,Caulobacter hibisci,Bacteria,Pseudomonadota,aerobe,2035993.3,2035993
,,,,,,,obligate aerobe,,
140608,7F14,"CGMCC 1.15915, KCTC 52515",1,Caulobacter rhizosphaerae,Bacteria,Pseudomonadota,aerobe,2010972.4,2010972
,,,,,,,obligate aerobe,,
132488,,"DSM 101949, CCUG 39713",1,Caviibacter abscessus,Bacteria,Fusobacteriota,anaerobe,1766719.4,1766719
,,,,,,,obligate anaerobe,2788499922,1766719
24724,RQ-33,"DSM 21411, LMG 24596",1,Cecembia calidifontis,Bacteria,Bacteroidota,aerobe,1187080.3,1187080
,,,,,,,,2814123038,1187080
133802,LW9,"CCUG 58316, KCTC 22772",1,Cecembia lonarensis,Bacteria,Bacteroidota,aerobe,1225176.3,1225176
,,,,,,,,2519899594,1225176
4320,"005, 3278-77","DSM 4568, ATCC 33431, CDC 3278-77, CIP 80.34, CCUG 12370, JCM 1685, BCRC 14815, CECT 842, LMG 7862, NBRC 105702, NCIMB 11889, NCTC 13724, NCTC 11465",1,Cedecea davisae,Bacteria,Pseudomonadota,aerobe,158484.3,158484
,,,,,,,,2541046972,566551
,,,,,,,,2808606631,158484
,,,,,,,,566551.4,566551
4321,"004, 0485-76","CCUG 12371, NCTC 11466, LMG 7863, JCM 1684, DSM 4587, ATCC 33432, CDC 0485-76, CIP 80.35, BCRC 14816, CDC 485-76",1,Cedecea lapagei,Bacteria,Pseudomonadota,facultative anaerobe,158823.5,158823
,,,,,,,,2836746200,158823
4322,"Grimont 002, 0621-75, 002","DSM 13693, ATCC 33855, CDC 0621-75, CCUG 18763, CECT 855, JCM 7582, CDC 621-75, CIP 103241, GTC 1717, LMG 7864, NBRC 105707, NCTC 12120",1,Cedecea neteri,Bacteria,Pseudomonadota,facultative anaerobe,1216978.4,1216978
,,,,,,,,158822.24,158822
,,,,,,,,2731957623,1216978
23239,L-6,"DSM 27375, CCUG 60799, KCTC 23497",1,Celeribacter baekdonensis,Bacteria,Pseudomonadota,aerobe,2616644820,875171
,,,,,,,anaerobe,875171.3,875171
13861,ZXM137,"DSM 26270, CGMCC 1.8891, LMG 24854",1,Celeribacter halophilus,Bacteria,Pseudomonadota,aerobe,2593339274,576117
,,,,,,,,2617270905,576117
,,,,,,,,2728369168,576117
,,,,,,,,576117.6,576117
,,,,,,,,576117.7,576117
13855,"H 14, H14","DSM 26471, CIP 109922, KMM 6012",1,Celeribacter neptunius,Bacteria,Pseudomonadota,facultative anaerobe,2617270870,588602
,,,,,,,,588602.3,588602
140857,SBU1,"MCCC 1A00672, DSM 100434",1,Celeribacter persicus,Bacteria,Pseudomonadota,aerobe,1651082.3,1651082
,,,,,,,,2734482187,1651082
17835,S-G2-2,"DSM 18577, ATCC BAA-1368",1,Celerinatantimonas diazotrophica,Bacteria,Pseudomonadota,facultative anaerobe,2802428811,412034
,,,,,,,obligate aerobe,412034.4,412034
2373,5420S-23,"DSM 18649, KACC 20692, JCM 16376, NBRC 106308, CIP 110191",1,Cellulomonas aerilata,Bacteria,Actinomycetota,aerobe,515326.3,515326
,,,,,,,obligate aerobe,,
2350,"127, NRS-127","DSM 20112, ATCC 486, NCDO 1654, NCIB 8077, CCUG 58054, JCM 1340, LMG 16695, CIP 82.11, NCIMB 8077, BCRC 14864, CFBP 4269, CGMCC 1.1899, IAM 12106, IFM 10509, IFO 12680, IMET 10473, KCCM 40760, KCTC 1370, NBRC 12680, NCAIM B.01385, VKM Ac-1410, NCTC 10823",1,Cellulomonas biazotea,Bacteria,Actinomycetota,aerobe,1709.6,1709
,,,,,,,obligate aerobe,2865143354,1709
2369,69B4,"DSM 16987, CIP 108683, JCM 30720",1,Cellulomonas bogoriensis,Bacteria,Actinomycetota,facultative anaerobe,1386082.3,1386082
,,,,,,,obligate aerobe,2651869835,1386082
2375,T26,"DSM 26485, CCTCC AB 2010450, CGMCC 1.10786, KCTC 19824, JCM 19664, NBRC 110798",1,Cellulomonas carbonis,Bacteria,Actinomycetota,aerobe,1386092.3,1386092
,,,,,,,obligate aerobe,2636415627,947969
,,,,,,,,947969.5,947969
2351,"124, NRS-124","DSM 20118, ATCC 487, CCM 1925, NCIB 8078, JCM 9967, BCRC 14865, CFBP 4260, CIP 102222, IFO 3753, IFO 3774, KCCM 12154, KCTC 3410, LMG 16323, NBRC 3753, NBRC 3774, NCCB 29015, NCIMB 8078, VKM Ac-1136",1,Cellulomonas cellasea,Bacteria,Actinomycetota,obligate aerobe,1408250.3,1408250
,,,,,,,,2630968797,1408250
,,,,,,,,43670.3,43670
2372,XBU-b,"DSM 17922, KCTC 19133, JCM 16927, NBRC 110799",1,Cellulomonas chitinilytica,Bacteria,Actinomycetota,aerobe,1305865.3,1305865
,,,,,,,facultative anaerobe,2734481976,1305865
,,,,,,,obligate aerobe,398759.3,398759
2371,TR7-06,"DSM 25222, JCM 14898, KCTC 19030, NBRC 100758",1,Cellulomonas composti,Bacteria,Actinomycetota,aerobe,1305857.3,1305857
,,,,,,,obligate aerobe,266130.4,266130
,,,,,,,,2734481969,1305857
2367,W6929,"DSM 15764, ATCC BAA-788, NBRC 110783, CCUG 18431, JCM 14733, CIP 108914",1,Cellulomonas denverensis,Bacteria,Actinomycetota,facultative anaerobe,1305869.3,1305869
,,,,,,,obligate aerobe,264297.6,264297
,,,,,,,,2734481980,1305869
2352,"133, NRS-133","DSM 20113, ATCC 484, NCIB 8980, NCTC 7547, CCUG 24087, JCM 1341, BCRC 14867, CECT 4283, CFBP 4254, CGMCC 1.1900, CIP 102114, HAMBI 93, IAM 12107, IFO 15513, IMET 10687, KCTC 1436, LMG 16345, NBRC 15513, NCAIM B.01386, NCCB 29016, NCIMB 11341, NCIMB 8980, VKM Ac-1411, VTT E-93020",1,Cellulomonas fimi,Bacteria,Actinomycetota,aerobe,1708.3,1708
,,,,,,,facultative anaerobe,2505679089,590998
,,,,,,,obligate aerobe,590998.5,590998
2354,"134, NRS-134","DSM 20109, ATCC 482, CCM 1926, NCIB 8073, CCUG 28996, JCM 18109, BCRC 11376, BUCSAV 180, CCUG 12162, CFBP 4223, CGMCC 1.1914, CIP 82.10, IAM 12109, IFO 3754, IFO 3775, IMET 10357, IMSNU 21278, JCM 1489, JCM 20412, KCCM 21192, KCTC 1038, KCTC 9104, LMG 16263, NBRC 3754, NBRC 3775, NCAIM B.01383, NCIMB 8073, PCM 2333, VKM Ac-1137, CCUG 23578",1,Cellulomonas flavigena,Bacteria,Actinomycetota,aerobe,446466.7,446466
,,,,,,,obligate aerobe,646564520,446466
140657,,ATCC 13127,1,Cellulomonas gilvus,Bacteria,Actinomycetota,facultative anaerobe,2505679016,593907
,,,,,,,obligate aerobe,593907.5,593907
2360,,"DSM 9581, CCUG 34783, ATCC 51964, LMG 17240, CIP 104574, NBRC 16055, JCM 12133, DMMZ CE40, CCM 4572, IFM 10516, IFO 16055, KCTC 9982, DMMZ 40",1,Cellulomonas hominis,Bacteria,Actinomycetota,facultative anaerobe,1305868.3,1305868
,,,,,,,obligate aerobe,156981.5,156981
,,,,,,,,156981.6,156981
,,,,,,,,156981.9,156981
,,,,,,,,2734481979,1305868
,,,,,,,,2856438371,156981
2359,PSU-16S,"DSM 14368, ATCC 25174, CCUG 35596, NRRL B-3752, JCM 11945, CIP 104614, NCIMB 10802, PCM 2416",1,Cellulomonas humilata,Bacteria,Actinomycetota,aerobe,144055.3,144055
,,,,,,,anaerobe,,
,,,,,,,facultative anaerobe,,
,,,,,,,microaerophile,,
,,,,,,,obligate aerobe,,
2366,O,"DSM 14785, ATCC 700643, IFO 16734, NBRC 16734, JCM 18110, CIP 107678, JCM 12410, KCTC 9983, NBRC 101100",1,Cellulomonas iranensis,Bacteria,Actinomycetota,facultative anaerobe,1223509.4,1223509
,,,,,,,obligate aerobe,1223509.5,1223509
,,,,,,,,2731957583,1223509
,,,,,,,,2734481977,1223509
,,,,,,,,2927609659,76862
23832,FXJ8.089,"DSM 24960, CGMCC 4.6945, NBRC 110784, JCM 30777",1,Cellulomonas marina,Bacteria,Actinomycetota,facultative anaerobe,2675903053,988821
,,,,,,,obligate aerobe,988821.3,988821
,,,,,,,,988821.4,988821
2376,Kc5,"DSM 24482, JCM 17534, NBRC 109435",1,Cellulomonas oligotrophica,Bacteria,Actinomycetota,aerobe,2844845222,931536
,,,,,,,obligate anaerobe,931536.3,931536
,,,,,,,,931536.4,931536
,,,,,,,,931536.5,931536
23833,,"DSM 24792, JCM 18755, KCTC 19798, NCCP 11, NBRC 110800",1,Cellulomonas pakistanensis,Bacteria,Actinomycetota,aerobe,2734481991,992287
,,,,,,,obligate aerobe,992287.3,992287
,,,,,,,,992287.4,992287
2365,I,"DSM 14784, ATCC 700642, IFO 16733, NBRC 16733, JCM 18111, CIP 107677, JCM 12411, KCTC 9984, NBRC 101101",1,Cellulomonas persica,Bacteria,Actinomycetota,facultative anaerobe,1305867.3,1305867
,,,,,,,obligate aerobe,2734481978,1305867
,,,,,,,,76861.4,76861
164249,NEAU-TCZ24,"JCM 32383, CCTCC AA 2018042",1,Cellulomonas rhizosphaerae,Bacteria,Actinomycetota,aerobe,2866408650,2293719
,,,,,,,obligate aerobe,,
2377,Kc1,"DSM 24484, JCM 17535, NBRC 109434",1,Cellulomonas soli,Bacteria,Actinomycetota,aerobe,2831319000,931535
,,,,,,,obligate aerobe,931535.3,931535
,,,,,,,,931535.4,931535
159213,,"DSM 105430, KCTC 39974, CPCC 204705",1,Cellulomonas telluris,Bacteria,Actinomycetota,aerobe,2306636.3,2306636
,,,,,,,obligate aerobe,2898550215,2306636
,,,,,,,,QXFN00000000,2306636
2370,"DB 5, DB5","DSM 17791, KCTC 19081, NBRC 100819, JCM 14899, CIP 108880",1,Cellulomonas terrae,Bacteria,Actinomycetota,aerobe,1305858.3,1305858
,,,,,,,facultative anaerobe,2734481970,1305858
,,,,,,,obligate aerobe,311234.4,311234
2368,"XIL11, CIL11","DSM 16933, CECT 5729, LMG 21723, JCM 14281, CIP 108340, NBRC 101102",1,Cellulomonas xylanilytica,Bacteria,Actinomycetota,aerobe,1305856.3,1305856
,,,,,,,facultative anaerobe,233583.3,233583
,,,,,,,obligate aerobe,2681813035,1305856
5500,IC166,"DSM 14237, ACAM 630, CIP 107446, LMG 21425",1,Cellulophaga algicola,Bacteria,Bacteroidota,aerobe,649633031,688270
,,,,,,,,688270.3,688270
5501,NN015840,"DSM 24729, ATCC 700862, CIP 106307, LMG 18535, NCIMB 13610",1,Cellulophaga baltica,Bacteria,Bacteroidota,aerobe,2622736528,76594
,,,,,,,obligate aerobe,76594.4,76594
5502,NN015860,"DSM 24786, ATCC 700863, CIP 106308, JCM 21778, LMG 18536, NCIMB 13611, IAM 15330",1,Cellulophaga fucicola,Bacteria,Bacteroidota,obligate aerobe,2595699004,76595
,,,,,,,,76595.6,76595
5499,"LIM -21, LIM 21","DSM 7489, ATCC 23178, IAM 14306, Cy l20, JCM 8516, CECT 5014, CIP 103822, IFO 14961, KCTC 2913, KCTC 2914, LMG 1344, LMG 8371, NBRC 14961, NCIMB 1423, VKM B-1433, DSM 2039, LMG 14961",1,Cellulophaga lytica,Bacteria,Bacteroidota,aerobe,649633032,867900
,,,,,,,obligate aerobe,867900.3,867900
5503,EM41,"DSM 21164, KCTC 22297",1,Cellulophaga tyrosinoxydans,Bacteria,Bacteroidota,aerobe,2595698249,504486
,,,,,,,obligate aerobe,504486.3,504486
6375,RHM5,"DSM 5427, ATCC 49066, KCTC 15127, NCIMB 11756, NCIB 11756",1,Cellulosilyticum lentocellum,Bacteria,Bacillota,anaerobe,642492.3,642492
,,,,,,,facultative anaerobe,650716026,642492
133558,H1,"CGMCC 1.5065, JCM 14822, DSM 23859",1,Cellulosilyticum ruminicola,Bacteria,Bacillota,anaerobe,1294025.4,1294025
,,,,,,,,2667527401,1294025
12575,,"DSM 43879, ATCC 12830, DSM 43189, IMET 7404, NCIB 8868, CCUG 50776, CIP 103404, LMG 16221, NCIMB 8868, JCM 9965, BCRC 17274, CECT 4282, CFBP 4267, HAMBI 95, IAM 14866, IFO 15516, KCCM 40761, KCTC 1771, KCTC 3259, KCTC 3411, NBIMCC 1642, NBRC 15516, NCTC 8868, NRRL B-2768, VKM Ac-1412",1,Cellulosimicrobium cellulans,Bacteria,Actinomycetota,facultative anaerobe,1710.19,1710
,,,,,,,obligate aerobe,1710.9,1710
,,,,,,,,2623620579,1710
12572,,"DSM 20106, ATCC 21681, NCIB 11440, JCM 6201, BCRC 11636, CGMCC 1.1938, CIP 102113, IAM 13191, IMET 10715, KCCM 11678, KCTC 3409, LMG 16238, NCIMB 11440, VKM Ac-1029",0,Cellulosimicrobium cellulans,Bacteria,Actinomycetota,facultative anaerobe,1710.42,1710
,,,,,,,obligate aerobe,2893668759,1710
12578,LL G-62,"DSM 46030, ATCC 27402, CECT 3050, CIP 81.28, IMET 7383, IMRU 3959, JCM 3164, KCC A-0164, NCIB 11025, CGMCC 1.2019, CGMCC 4.1492, IFO 16148, KCTC 9085, LMG 16121, NBRC 16148, NCIMB 11025, NRRL B-16088, PCM 2385, NBIMCC 2142",0,Cellulosimicrobium cellulans,Bacteria,Actinomycetota,facultative anaerobe,1242247.3,1242247
,,,,,,,obligate aerobe,2551306489,1242247
12581,"C8821, W6122","DSM 16025, ATCC BAA-886, CCUG 50705, JCM 14302, CIP 108915, NBRC 104118, VTT E-072700",1,Cellulosimicrobium funkei,Bacteria,Actinomycetota,aerobe,1349761.3,1349761
,,,,,,,,264251.7,264251
,,,,,,,,2731957606,1349761
12582,DS-61,"DSM 18665, KCTC 19206, JCM 15619, NBRC 106259",1,Cellulosimicrobium terreum,Bacteria,Actinomycetota,aerobe,412439.4,412439
,,,,,,,,412439.6,412439
17118,LL 2383,"DSM 2778, ATCC 35019, CIP 105322, CCUG 44586",1,Centipeda periodontii,Bacteria,Bacillota,anaerobe,651324021,888060
,,,,,,,,888060.3,888060
1325,BLxT,"DSM 15825, IAM 15044, JCM 21507, KCTC 3815",1,Cerasibacillus quisquiliarum,Bacteria,Bacillota,aerobe,227865.7,227865
,,,,,,,obligate aerobe,2861570626,227865
134262,YM26-026,"MBIC 082805, KCTC 12870, CIP 109746, MBIC 08280",1,Cerasicoccus arenae,Bacteria,Verrucomicrobiota,aerobe,424488.3,424488
,,,,,,,obligate aerobe,424488.4,424488
13656,JA139,"DSM 18774, CCUG 53722, JCM 14338, BCRC 80280, KCTC 5728",1,Cereibacter changlensis,Bacteria,Pseudomonadota,aerobe,1188249.3,1188249
,,,,,,,anaerobe,2593339283,402884
,,,,,,,facultative anaerobe,402884.4,402884
,,,,,,,obligate aerobe,,
13812,,"DSM 158, ATCC 17023, IAM 14237, NCIB 8253, CCUG 31486, ATCC 11167, LMG 2827, ATCC 14690, CIP 60.6, ATH 2.4.1, JCM 6121, BCRC 16407, CECT 300, CGMCC 1.1737, CGMCC 1.3368, IFO 12203, KCTC 1434, NBRC 12203, NCIMB 8253, NCIMB 8287",1,Cereibacter sphaeroides,Bacteria,Pseudomonadota,anaerobe,1063.83,1063
,,,,,,,,1063.96,1063
,,,,,,,,651717148,1063
5475,AMV16,"DSM 22818, CCUG 58431, CIP 110152",1,Cesiribacter andamanensis,Bacteria,Bacteroidota,obligate aerobe,1279009.4,1279009
,,,,,,,,2529293184,1279009
158533,SM1355,"JCM 30336, CCTCC AB 2014246",1,Changchengzhania lutea,Bacteria,Bacteroidota,aerobe,2883400621,2049305
,,,,,,,obligate aerobe,,
132550,RB-25,"DSM 28811, LMG 28304",1,Chania multitudinisentens,Bacteria,Pseudomonadota,aerobe,2558860259,1441930
,,,,,,,,2576861238,1441930
11897,,"DSM 9103, VKM B-2394",1,Chelativorans multitrophicus,Bacteria,Pseudomonadota,aerobe,449973.3,449973
,,,,,,,obligate aerobe,,
131683,EBR-4-1,"DSM 103737, JCM 30181, KCTC 32487",1,Chelatococcus caeni,Bacteria,Pseudomonadota,aerobe,1348468.3,1348468
,,,,,,,obligate aerobe,2830007530,1348468
133219,B2974,"DSM 105737, JCM 30308, CGMCC 1.12919",1,Chelatococcus reniformis,Bacteria,Pseudomonadota,aerobe,1494448.3,1494448
,,,,,,,obligate aerobe,,
11756,1662,"DSM 21392, CCUG 55632, CIP 110019",1,Chelonobacter oris,Bacteria,Pseudomonadota,aerobe,2627854067,505317
,,,,,,,facultative anaerobe,505317.4,505317
,,,,,,,microaerophile,,
166177,YPA3-1-1,"MCCC 1A14042, KCTC 43019",1,Chengkuizengella marina,Bacteria,Bacillota,aerobe,2507566.3,2507566
,,,,,,,obligate aerobe,,
140684,J15A17,"KCTC 33759, MCCC 1H00137",1,Chengkuizengella sediminis,Bacteria,Bacillota,aerobe,1885917.4,1885917
,,,,,,,obligate aerobe,,
24683,CC-YHH031,"DSM 24163, BCRC 80273, JCM 17639, CECT 9202, DSM 24137",1,Chiayiivirga flava,Bacteria,Pseudomonadota,aerobe,2861615426,659595
,,,,,,,obligate aerobe,659595.3,659595
133181,STM-7,"BCRC 80923, LMG 29289, KCTC 42982, DSM 107335",1,Chitinibacter fontanus,Bacteria,Pseudomonadota,aerobe,2927923272,1737446
,,,,,,,obligate aerobe,,
10447,S1,"DSM 15459, BCRC 17254, CIP 108626, BCRC 17254 (S1)",1,Chitinibacter tainanensis,Bacteria,Pseudomonadota,aerobe,1121274.4,1121274
,,,,,,,obligate aerobe,2524614843,1121274
10523,c14,"DSM 21506, BCRC 17533, LMG 23346",1,Chitinilyticum aquatile,Bacteria,Pseudomonadota,facultative anaerobe,1121275.4,1121275
,,,,,,,obligate aerobe,2524023225,1121275
10524,c1,"DSM 21440, BCRC 17609",1,Chitinilyticum litopenaei,Bacteria,Pseudomonadota,facultative anaerobe,2524614555,529086
,,,,,,,,529086.3,529086
1993,"R2A43-10, R2A 43-10","DSM 17726, KACC 11467, CIP 109380",1,Chitinimonas koreensis,Bacteria,Pseudomonadota,microaerophile,1121278.3,1121278
,,,,,,,obligate aerobe,2524614556,1121278
130839,ACht1,"DSM 24538, UNIQEM U887",1,Chitinivibrio alkaliphilus,Bacteria,Fibrobacterota,anaerobe,2565956826,1313304
23450,KL-9,"DSM 27165, BCRC 80168, LMG 25530",1,Chitinivorax tropicus,Bacteria,Pseudomonadota,facultative anaerobe,2861653689,714531
,,,,,,,,714531.3,714531
166466,T22,"ACCC 60125, KCTC 62518",1,Chitinophaga alhagiae,Bacteria,Bacteroidota,aerobe,2840677318,2203219
,,,,,,,,2896085136,2203219
17742,M64,"DSM 3695, ATCC 51264, IAM 12650, JCM 2836, NCIB 11855, CECT 358, CIP 104804, IFO 14973, IFO 16136, KCTC 2943, NBRC 14973, NBRC 16136, NCIMB 11855",1,Chitinophaga arvensicola,Bacteria,Bacteroidota,obligate aerobe,2636416040,29529
,,,,,,,,29529.11,29529
166493,XJ-2,"KCTC 62443, CCTCC AB 2018019",1,Chitinophaga deserti,Bacteria,Bacteroidota,obligate aerobe,2882785813,2164099
17744,Fx e1,"CCUG 12809, CIP 106401, DSM 527, ATCC 29495, IAM 14320, IFO 15056, NBRC 15056, JCM 21160, HAMBI 1966, LMG 23482, NCIMB 13250, VKM B-1400",1,Chitinophaga filiformis,Bacteria,Bacteroidota,obligate aerobe,104663.4,104663
,,,,,,,,2634166296,104663
17747,M1-09,"DSM 18108, KCTC 12654, Gsoil 040",1,Chitinophaga ginsengisegetis,Bacteria,Bacteroidota,aerobe,2595698247,393003
,,,,,,,,393003.3,393003
