sample name	collection date	geographic location (latitude and longitude)	elevation, meters	depth, meters	soil horizon	temperature	collection time, GMT	sample collection device	pH	sample linkage	mean annual precipitation	mean annual temperature	geographic location (country and/or sea,region)	broad-scale environmental context	local environmental context	ecosystem_type	ecosystem_subtype	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project Type	GOLD Study ID	Genome Size  * assembled	Gene Count  * assembled	MetaBAT Bin Count  * assembled	dnaSampleID
SJER_001-M-20230227-COMP	2023-02-27	37.106602 -119.72024	399.4	0 - 0.31	M horizon	9.1	21:37:00	auger	6.545423281	composite: SJER_001-M-39-20230227,SJER_001-M-21-20230227,SJER_001-M-41-20230227	540 mm	16.4 Cel	USA: CA, Madera County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from San Joaquin Experimental Range NEON Field Site, California, USA - SJER_001-M-20230227-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300076643	Metagenome Analysis	Gs0166454	193762495	370254	0	SJER_001-M-20230227-COMP-DNA1
SJER_002-M-20230228-COMP	2023-02-28	37.082813 -119.743324	349.3	0 - 0.31	M horizon	7.6	16:56:00	auger	6.109937649	composite: SJER_002-M-39-20230228,SJER_002-M-23-20230228,SJER_002-M-41-20230228	540 mm	16.4 Cel	USA: CA, Madera County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from San Joaquin Experimental Range NEON Field Site, California, USA - SJER_002-M-20230228-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077823	Metagenome Analysis	Gs0166454	265050042	542147	0	SJER_002-M-20230228-COMP-DNA1
SJER_003-M-20230301-COMP	2023-03-01	37.116632 -119.730379	437.5	0 - 0.3	M horizon	7.833333333	20:24:00	auger	5.620111808	composite: SJER_003-M-21-20230301,SJER_003-M-23-20230301,SJER_003-M-41-20230301	540 mm	16.4 Cel	USA: CA, Madera County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from San Joaquin Experimental Range NEON Field Site, California, USA - SJER_003-M-20230301-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078360	Metagenome Analysis	Gs0166454	790005266	1370413	7	SJER_003-M-20230301-COMP-DNA1
SJER_004-M-20230301-COMP	2023-03-01	37.108972 -119.746305	383.1	0 - 0.3	M horizon	10.06666667	23:33:00	bulb corer	6.557242054	composite: SJER_004-M-21-20230301,SJER_004-M-39-20230301,SJER_004-M-23-20230301	540 mm	16.4 Cel	USA: CA, Madera County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from San Joaquin Experimental Range NEON Field Site, California, USA - SJER_004-M-20230301-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078368	Metagenome Analysis	Gs0166454	921078902	1672392	7	SJER_004-M-20230301-COMP-DNA1
SJER_005-M-20230306-COMP	2023-03-06	37.1235 -119.748517	499.5	0 - 0.3	M horizon	6.533333333	18:10:00	auger	6.499053004	composite: SJER_005-M-39-20230306,SJER_005-M-21-20230306,SJER_005-M-23-20230306	540 mm	16.4 Cel	USA: CA, Madera County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from San Joaquin Experimental Range NEON Field Site, California, USA - SJER_005-M-20230306-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078370	Metagenome Analysis	Gs0166454	672845368	1236630	5	SJER_005-M-20230306-COMP-DNA1
TALL_001-M-20230531-COMP	2023-05-31	32.977665 -87.432705	100.3	0 - 0.31	M horizon	19.4	13:47:00	auger	4.692904094	composite: TALL_001-M-41-20230531,TALL_001-M-23-20230531,TALL_001-M-21-20230531	1383 mm	17.2 Cel	USA: AL, Bibb County	subtropical broadleaf forest biome [ENVO:01000201]	area of deciduous forest [ENVO:01000816]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_001-M-20230531-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077106	Metagenome Analysis	Gs0166454	1004423833	1795964	0	TALL_001-M-20230531-COMP-DNA1
TALL_002-M-20230530-COMP	2023-05-30	32.922166 -87.428895	114.9	0 - 0.3	M horizon	19.66666667	19:38:00	auger	4.820736342	composite: TALL_002-M-23-20230530,TALL_002-M-39-20230530,TALL_002-M-21-20230530	1383 mm	17.2 Cel	USA: AL, Bibb County	mixed forest biome [ENVO:01000198]	mixed forest [ENVO:01000431]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_002-M-20230530-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077116	Metagenome Analysis	Gs0166454	1080550817	1895871	5	TALL_002-M-20230530-COMP-DNA1
TALL_003-M-20230531-COMP	2023-05-31	32.893534 -87.415333	120.8	0 - 0.305	M horizon	22.26666667	19:18:00	auger	5.470272688	composite: TALL_003-M-39-20230531,TALL_003-M-21-20230531,TALL_003-M-41-20230531	1383 mm	17.2 Cel	USA: AL, Bibb County	mixed forest biome [ENVO:01000198]	mixed forest [ENVO:01000431]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_003-M-20230531-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077288	Metagenome Analysis	Gs0166454	3003503738	4929517	19	TALL_003-M-20230531-COMP-DNA1
TALL_004-M-20230531-COMP	2023-05-31	32.957884 -87.432614	132.2	0 - 0.315	M horizon	23.83333333	15:52:00	auger	4.861555238	composite: TALL_004-M-41-20230531,TALL_004-M-21-20230531,TALL_004-M-23-20230531	1383 mm	17.2 Cel	USA: AL, Bibb County	subtropical coniferous forest biome [ENVO:01000209]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_004-M-20230531-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077492	Metagenome Analysis	Gs0166454	1085377851	1876650	0	TALL_004-M-20230531-COMP-DNA1
TALL_006-M-20230531-COMP	2023-05-31	32.898842 -87.446131	99	0 - 0.31	M horizon	21.23333333	17:54:00	auger	5.025955832	composite: TALL_006-M-21-20230531,TALL_006-M-23-20230531,TALL_006-M-39-20230531	1383 mm	17.2 Cel	USA: AL, Bibb County	subtropical coniferous forest biome [ENVO:01000209]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_006-M-20230531-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077107	Metagenome Analysis	Gs0166454	1094135710	1933533	6	TALL_006-M-20230531-COMP-DNA1
TALL_007-M-20230530-COMP	2023-05-30	32.974426 -87.42694	83.9	0 - 0.305	M horizon	21.06666667	19:20:00	auger	5.038344181	composite: TALL_007-M-41-20230530,TALL_007-M-23-20230530,TALL_007-M-39-20230530	1383 mm	17.2 Cel	USA: AL, Bibb County	subtropical broadleaf forest biome [ENVO:01000201]	area of deciduous forest [ENVO:01000816]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_007-M-20230530-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077108	Metagenome Analysis	Gs0166454	669515426	1196087	0	TALL_007-M-20230530-COMP-DNA1
TALL_047-M-20230530-COMP	2023-05-30	32.951498 -87.398914	137.2	0 - 0.305	M horizon	19.63333333	15:01:00	auger	5.568542104	composite: TALL_047-M-39-20230530,TALL_047-M-41-20230530,TALL_047-M-21-20230530	1383 mm	17.2 Cel	USA: AL, Bibb County	subtropical coniferous forest biome [ENVO:01000209]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_047-M-20230530-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077654	Metagenome Analysis	Gs0166454	1531095075	2556628	5	TALL_047-M-20230530-COMP-DNA1
TALL_051-M-20230530-COMP	2023-05-30	32.950156 -87.397294	116.8	0 - 0.31	M horizon	20.36666667	16:28:00	auger	4.672022254	composite: TALL_051-M-21-20230530,TALL_051-M-39-20230530,TALL_051-M-41-20230530	1383 mm	17.2 Cel	USA: AL, Bibb County	mixed forest biome [ENVO:01000198]	mixed forest [ENVO:01000431]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_051-M-20230530-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077655	Metagenome Analysis	Gs0166454	1787122327	2940680	4	TALL_051-M-20230530-COMP-DNA1
TALL_054-M-20230530-COMP	2023-05-30	32.948795 -87.397268	123.3	0 - 0.31	M horizon	19.76666667	14:49:00	auger	4.749762723	composite: TALL_054-M-21-20230530,TALL_054-M-41-20230530,TALL_054-M-39-20230530	1383 mm	17.2 Cel	USA: AL, Bibb County	subtropical coniferous forest biome [ENVO:01000209]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Talladega National Forest NEON Field Site, Alabama, USA - TALL_054-M-20230530-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300077109	Metagenome Analysis	Gs0166454	746733138	1353133	2	TALL_054-M-20230530-COMP-DNA1
WREF_003-O-20230712-COMP	2023-07-12	45.831516 -122.018608	602.1	0 - 0.25	O horizon	13	18:30:00	brownie cutter	3.67	composite: WREF_003-O-23-20230712	2225 mm	9.2 Cel	USA: WA, Skamania County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_003-O-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078367	Metagenome Analysis	Gs0166454	2396616466	3703349	28	WREF_003-O-20230712-COMP-DNA1
WREF_004-O-20230712-COMP	2023-07-12	45.822941 -121.998707	567.8	0 - 0.2	O horizon	15	20:09:00	brownie cutter	6.25	composite: WREF_004-O-21-20230712	2225 mm	9.2 Cel	USA: WA, Skamania County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_004-O-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078393	Metagenome Analysis	Gs0166454	2177912034	3395400	19	WREF_004-O-20230712-COMP-DNA1
WREF_007-O-20230710-COMP	2023-07-10	45.850153 -121.989672	598.4	0 - 0.043	O horizon	15	21:32:00	brownie cutter	4.51	composite: WREF_007-O-41-20230710	2225 mm	9.2 Cel	USA: WA, Skamania County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_007-O-20230710-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078369	Metagenome Analysis	Gs0166454	1099271024	1801413	8	WREF_007-O-20230710-COMP-DNA1
WREF_008-O-20230712-COMP	2023-07-12	45.823595 -121.973495	465.4	0 - 0.25	O horizon	15.7	17:02:00	brownie cutter	3.7	composite: WREF_008-O-23-20230712	2225 mm	9.2 Cel	USA: WA, Skamania County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_008-O-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078418	Metagenome Analysis	Gs0166454	2244007604	3583565	29	WREF_008-O-20230712-COMP-DNA1
WREF_071-O-20230710-COMP	2023-07-10	45.829046 -121.958541	371.3	0 - 0.02	O horizon	15	18:56:00	brownie cutter	4.91	composite: WREF_071-O-23-20230710	2225 mm	9.2 Cel	USA: WA, Skamania County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_071-O-20230710-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078394	Metagenome Analysis	Gs0166454	1646922363	2720790	9	WREF_071-O-20230710-COMP-DNA1
WREF_072-M-20230712-COMP	2023-07-12	45.824274 -121.966341	418.1	0.007 - 0.29	M horizon	14.9	18:50:00	auger	4.78	composite: WREF_072-M-41-20230712	2225 mm	9.2 Cel	USA: WA, Skamania County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_072-M-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078372	Metagenome Analysis	Gs0166454	1767984844	2930351	17	WREF_072-M-20230712-COMP-DNA1
WREF_072-O-20230712-COMP	2023-07-12	45.824274 -121.966341	418.1	0 - 0.007	O horizon	14.9	18:50:00	brownie cutter	3.94	composite: WREF_072-O-41-20230712	2225 mm	9.2 Cel	USA: WA, Skamania County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Wind River Experimental Forest NEON Field Site, Washington, USA - WREF_072-O-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078419	Metagenome Analysis	Gs0166454	1857984456	3089322	16	WREF_072-O-20230712-COMP-DNA1
YELL_003-M-20230802-COMP	2023-08-02	44.954777 -110.533202	2120.8	0 - 0.18	M horizon	15.2	20:22:00	corer	6.375868465	composite: YELL_003-M-23-20230802,YELL_003-M-21-20230802	493 mm	3.4 Cel	USA: WY, Park County	temperate shrubland biome [ENVO:01000215]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Yellowstone National Park NEON Field Site, Wyoming, USA - YELL_003-M-20230802-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078423	Metagenome Analysis	Gs0166454	1042396837	1835622	6	YELL_003-M-20230802-COMP-DNA1
YELL_046-M-20230801-COMP	2023-08-01	44.952363 -110.541582	2155.4	0 - 0.182	M horizon	10.25	19:39:00	corer	6.277544158	composite: YELL_046-M-39-20230801,YELL_046-M-23-20230801	493 mm	3.4 Cel	USA: WY, Park County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Yellowstone National Park NEON Field Site, Wyoming, USA - YELL_046-M-20230801-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078371	Metagenome Analysis	Gs0166454	494011936	933170	2	YELL_046-M-20230801-COMP-DNA1
YELL_048-M-20230801-COMP	2023-08-01	44.951273 -110.536649	2149	0 - 0.155	M horizon	10.55	17:09:00	corer	6.277544158	composite: YELL_048-M-39-20230801,YELL_048-M-21-20230801	493 mm	3.4 Cel	USA: WY, Park County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Yellowstone National Park NEON Field Site, Wyoming, USA - YELL_048-M-20230801-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078530	Metagenome Analysis	Gs0166454	869692690	1549084	9	YELL_048-M-20230801-COMP-DNA1
YELL_051-M-20230801-COMP	2023-08-01	44.954277 -110.541571	2119.7	0 - 0.152	M horizon	11.35	16:54:00	corer	6.154971218	composite: YELL_051-M-21-20230801,YELL_051-M-23-20230801	493 mm	3.4 Cel	USA: WY, Park County	temperate shrubland biome [ENVO:01000215]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Yellowstone National Park NEON Field Site, Wyoming, USA - YELL_051-M-20230801-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078515	Metagenome Analysis	Gs0166454	1310302612	2295527	9	YELL_051-M-20230801-COMP-DNA1
YELL_052-M-20230802-COMP	2023-08-02	44.954799 -110.539286	2125.7	0 - 0.26	M horizon	10.05	17:06:00	corer	5.372280546	composite: YELL_052-M-41-20230802,YELL_052-M-23-20230802	493 mm	3.4 Cel	USA: WY, Park County	temperate coniferous forest biome [ENVO:01000211]	temperate evergreen needleleaf forest [ENVO:01000383]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Yellowstone National Park NEON Field Site, Wyoming, USA - YELL_052-M-20230802-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078373	Metagenome Analysis	Gs0166454	634982815	1154059	6	YELL_052-M-20230802-COMP-DNA1
DCFS_003-M-20230802-COMP	2023-08-02	47.206173 -99.184204	587.5	0 - 0.3	M horizon	17.83333333	13:04:00	auger	6.787804702	composite: DCFS_003-M-23-20230802,DCFS_003-M-39-20230802,DCFS_003-M-21-20230802	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_003-M-20230802-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078330	Metagenome Analysis	Gs0166454	2617456895	4260594	31	DCFS_003-M-20230802-COMP-DNA1
DCFS_004-M-20230801-COMP	2023-08-01	47.171565 -99.051268	507.2	0 - 0.3	M horizon	19.93333333	15:54:00	auger	6.98066644	composite: DCFS_004-M-23-20230801,DCFS_004-M-39-20230801,DCFS_004-M-21-20230801	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_004-M-20230801-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078489	Metagenome Analysis	Gs0166454	1162269665	1990042	7	DCFS_004-M-20230801-COMP-DNA1
DCFS_006-M-20230801-COMP	2023-08-01	47.173174 -99.05087	500.1	0 - 0.3	M horizon	17.9	14:02:00	auger	6.617132706	composite: DCFS_006-M-23-20230801,DCFS_006-M-21-20230801,DCFS_006-M-39-20230801	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_006-M-20230801-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078533	Metagenome Analysis	Gs0166454	2009668308	3376817	22	DCFS_006-M-20230801-COMP-DNA1
DCFS_007-M-20230726-COMP	2023-07-26	47.163429 -99.115691	568.5	0 - 0.31	M horizon	19.3	14:36:00	auger	5.947812426	composite: DCFS_007-M-41-20230726,DCFS_007-M-23-20230726,DCFS_007-M-21-20230726	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_007-M-20230726-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078214	Metagenome Analysis	Gs0166454	1744733634	2996345	9	DCFS_007-M-20230726-COMP-DNA1
DCFS_008-M-20230726-COMP	2023-07-26	47.163711 -99.118452	568.5	0 - 0.31	M horizon	19.66666667	16:11:00	auger	5.958838415	composite: DCFS_008-M-41-20230726,DCFS_008-M-39-20230726,DCFS_008-M-21-20230726	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_008-M-20230726-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078213	Metagenome Analysis	Gs0166454	1844638373	3051903	16	DCFS_008-M-20230726-COMP-DNA1
DCFS_009-M-20230801-COMP	2023-08-01	47.210512 -99.185022	590.4	0 - 0.3	M horizon	24.93333333	18:35:00	auger	8.138742826	composite: DCFS_009-M-23-20230801,DCFS_009-M-39-20230801,DCFS_009-M-21-20230801	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_009-M-20230801-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078212	Metagenome Analysis	Gs0166454	1116429975	2049910	5	DCFS_009-M-20230801-COMP-DNA1
DCFS_062-M-20230725-COMP	2023-07-25	47.162314 -99.110281	569.3	0 - 0.3	M horizon	19.5	15:50:00	auger	6.429110989	composite: DCFS_062-M-23-20230725,DCFS_062-M-39-20230725,DCFS_062-M-21-20230725	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_062-M-20230725-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079162	Metagenome Analysis	Gs0166454	2282630950	3846524	22	DCFS_062-M-20230725-COMP-DNA1
DCFS_062-O-20230725-COMP	2023-07-25	47.162314 -99.110281	569.3	0 - 0.025	O horizon	18.7	14:45:00	brownie cutter	6.22	composite: DCFS_062-O-23-20230725	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_062-O-20230725-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079522	Metagenome Analysis	Gs0166454	3397194001	5817590	11	DCFS_062-O-20230725-COMP-DNA1
DCFS_063-M-20230725-COMP	2023-07-25	47.16475 -99.110683	563.3	0 - 0.3	M horizon	19.75	19:03:00	auger	6.158541974	composite: DCFS_063-M-39-20230725,DCFS_063-M-21-20230725,DCFS_063-M-23-20230725	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_063-M-20230725-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078281	Metagenome Analysis	Gs0166454	1305865871	2200195	11	DCFS_063-M-20230725-COMP-DNA1
DCFS_063-O-20230725-COMP	2023-07-25	47.16475 -99.110683	563.3	0 - 0.03	O horizon	19.7	19:33:00	brownie cutter	6.35	composite: DCFS_063-O-23-20230725	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_063-O-20230725-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079161	Metagenome Analysis	Gs0166454	1417983663	2474281	4	DCFS_063-O-20230725-COMP-DNA1
DCFS_065-M-20230725-COMP	2023-07-25	47.160965 -99.11068	571.7	0 - 0.31	M horizon	20.53333333	13:22:00	auger	6.802741701	composite: DCFS_065-M-39-20230725,DCFS_065-M-23-20230725,DCFS_065-M-21-20230725	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_065-M-20230725-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078141	Metagenome Analysis	Gs0166454	1494642482	2608230	11	DCFS_065-M-20230725-COMP-DNA1
DCFS_067-M-20230725-COMP	2023-07-25	47.163131 -99.109882	573.9	0 - 0.3	M horizon	21.16666667	17:03:00	auger	6.645057735	composite: DCFS_067-M-23-20230725,DCFS_067-M-39-20230725,DCFS_067-M-41-20230725	490 mm	4.9 Cel	USA: ND, Stutsman County	temperate grassland biome [ENVO:01000193]	temperate grassland [ENVO:01001811]	Soil	Grasslands	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Dakota Coteau Field Site, North Dakota, USA - DCFS_067-M-20230725-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078140	Metagenome Analysis	Gs0166454	1400409210	2428092	7	DCFS_067-M-20230725-COMP-DNA1
MLBS_001-M-20230712-COMP	2023-07-12	37.3607 -80.524992	1310.9	0 - 0.221	M horizon	14.86666667	12:52:00	auger	4.319036743	composite: MLBS_001-M-41-20230712,MLBS_001-M-39-20230712,MLBS_001-M-23-20230712	1227 mm	8.8 Cel	USA: VA, Giles County	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Mountain Lake Biological Station NEON Field Site, Virginia, USA - MLBS_001-M-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078733	Metagenome Analysis	Gs0166454	2070399341	3653557	4	MLBS_001-M-20230712-COMP-DNA1
