"","accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"628","RS_GCF_900091455.1",100,0.16,100,2.37,71.7615817280059,6929787,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Micromonosporaceae;Micromonospora;Micromonospora coriariae","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Micromonosporaceae","Micromonospora","Micromonospora coriariae","Chromosome","none","GCA_900091455.1","none","none","representative genome",285665,285665,"obligate aerobe","aerobic"
"629","RS_GCF_003594935.2",100,0,99.97,0.04,55.7065798871162,5037746,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter huaxiensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter huaxiensis","Complete Genome","China: Chengdu; Sichuan","GCA_003594935.2","none","none","representative genome",2494702,2494702,"aerobe","aerobic"
"630","RS_GCF_014195585.1",99.94,0.06,99.16,0,45.3173904270611,2557292,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella rava","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella rava","Contig","none","GCA_014195585.1","none","none","representative genome",671218,671218,"anaerobe","anaerobic"
"631","RS_GCF_000807675.2",100,1.16,99.3,0,47.1904345559197,4422837,TRUE,"Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium limosum","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium limosum","Complete Genome","Germany","GCA_000807675.2","none","Human intestinal content","representative genome",1736,1736,"anaerobe","anaerobic"
"632","RS_GCF_003148475.1",100,0.29,99.59,1.02,62.681521483596,4836797,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudaminobacter;Pseudaminobacter salicylatoxidans","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudaminobacter","Pseudaminobacter salicylatoxidans","Scaffold","none","GCA_003148475.1","none","none","representative genome",93369,93369,"obligate aerobe","aerobic"
"633","RS_GCF_003149185.1",99.41,2.37,98.96,2.98,35.6288424922149,6603976,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Flammeovirgaceae;Sediminitomix;Sediminitomix flava","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Flammeovirgaceae","Sediminitomix","Sediminitomix flava","Scaffold","none","GCA_003149185.1","none","none","representative genome",379075,379075,"aerobe","aerobic"
"634","RS_GCF_000020225.1",100,0.25,97.96,0,55.7623544443869,2664102,TRUE,"Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Complete Genome","none","GCA_000020225.1","none","none","na",239935,349741,"anaerobe","anaerobic"
"635","RS_GCF_900129875.1",99.99,0,98.34,0.65,60.3703165798719,4193223,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita;Marivita hallyeonensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita","Marivita hallyeonensis","Contig","none","GCA_900129875.1","none","none","representative genome",996342,996342,"aerobe","aerobic"
"636","RS_GCF_002563895.1",100,0.16,99.93,0.68,60.6053918089222,6311648,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E;Pseudomonas_E lurida","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E lurida","Contig","none","GCA_002563895.1","none","none","na",244566,244566,"aerobe","aerobic"
"637","RS_GCF_000025345.1",100,0.52,99.37,1.64,73.9841093381546,5322497,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus obscurus","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus obscurus","Complete Genome","none","GCA_000025345.1","none","none","representative genome",1861,526225,"aerobe","aerobic"
"638","RS_GCF_000177635.2",99.99,0.12,94.77,0,56.1087250719426,2928377,TRUE,"Bacteria;Chrysiogenota;Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Desulfurispirillum;Desulfurispirillum indicum","Bacteria","Chrysiogenota","Chrysiogenetes","Chrysiogenales","Chrysiogenaceae","Desulfurispirillum","Desulfurispirillum indicum","Complete Genome","none","GCA_000177635.2","none","not provided; submitted under MIGS 2.1","representative genome",936456,653733,"anaerobe","anaerobic"
"639","RS_GCF_003002915.1",100,0.11,100,0.39,75.3798472663544,4869823,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Geodermatophilaceae;Geodermatophilus;Geodermatophilus tzadiensis","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus tzadiensis","Scaffold","none","GCA_003002915.1","none","none","representative genome",1137988,1137988,"aerobe","aerobic"
"640","RS_GCF_900111495.1",99.99,0.71,100,0,35.9822971619423,4668404,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Chryseobacterium wanjuense","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium wanjuense","Contig","none","GCA_900111495.1","none","none","representative genome",356305,356305,"aerobe","aerobic"
"641","RS_GCF_000826655.1",99.54,0.03,99.5,0.33,32.4933016774445,3945764,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroserpens;Psychroserpens damuponensis","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Psychroserpens","Psychroserpens damuponensis","Contig","South Korea","GCA_000826655.1","none","sea water","representative genome",943936,943936,"aerobe","aerobic"
"642","RS_GCF_900312995.1",100,0,99.56,0.66,59.3325444038469,3764595,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Kushneria;Kushneria phyllosphaerae","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Kushneria","Kushneria phyllosphaerae","Contig","none","GCA_900312995.1","none","Aerial part of Arthrocnemum macrostachyum","representative genome",2100822,2100822,"aerobe","aerobic"
"643","RS_GCF_002869745.1",99.99,0.03,99.19,0.76,69.3173321742981,4408274,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceaniglobus;Oceaniglobus roseus","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceaniglobus","Oceaniglobus roseus","Scaffold","Hong Kong: Mai Po","GCA_002869745.1","none","kandelia root sediment","representative genome",1737570,1737570,"aerobe","aerobic"
"644","RS_GCF_011764425.1",95.44,4.9,99.17,3.33,71.5459307859767,11342817,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Micromonosporaceae;Phytohabitans;Phytohabitans houttuyneae","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Micromonosporaceae","Phytohabitans","Phytohabitans houttuyneae","Contig","none","GCA_011764425.1","none","none","na",1076126,1076126,"aerobe","aerobic"
"645","RS_GCF_000420365.1",100,0.17,99.39,0,43.0550698818064,1358385,TRUE,"Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella;Weissella halotolerans","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella halotolerans","Scaffold","none","GCA_000420365.1","none","none","representative genome",1615,1123500,"anaerobe","anaerobic"
"646","RS_GCF_013408745.1",100,0.53,99.49,1.27,70.0812606726273,3917147,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Leifsonia;Leifsonia soli","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Microbacteriaceae","Leifsonia","Leifsonia soli","Contig","none","GCA_013408745.1","none","none","representative genome",582665,582665,"aerobe","aerobic"
"647","RS_GCF_000768695.1",99.92,0.8,100,0.27,71.2921083080355,4087970,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Dermatophilaceae;Knoellia;Knoellia aerolata","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Dermatophilaceae","Knoellia","Knoellia aerolata","Contig","South Korea","GCA_000768695.1","none","air","representative genome",442954,1385519,"aerobe","aerobic"
"648","RS_GCF_000614205.1",93.75,0.68,98.5,0,43.2972398372986,2975513,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella saccharolytica","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella saccharolytica","Contig","none","GCA_000614205.1","none","none","na",633701,1236516,"anaerobe","anaerobic"
"649","RS_GCF_023283895.1",100,0.93,99.84,0,42.7903125943437,4885725,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Shewanella;Shewanella pneumatophori","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella","Shewanella pneumatophori","Contig","Japan","GCA_023283895.1","none","intestine","representative genome",314092,314092,"anaerobe","anaerobic"
"650","RS_GCF_000938265.1",99.98,0.7,99.12,1.01,65.1865129839705,3920719,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Agreia;Agreia bicolorata","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Microbacteriaceae","Agreia","Agreia bicolorata","Contig","Russia: Pushchino; Moscow Region","GCA_000938265.1","none","soil","representative genome",110935,110935,"obligate aerobe","aerobic"
"651","RS_GCF_000421225.1",98.48,0.21,98.64,0.78,70.0477110595812,4174923,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Beutenbergiaceae;Ruania;Ruania albidiflava","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Beutenbergiaceae","Ruania","Ruania albidiflava","Contig","China","GCA_000421225.1","none","none","representative genome",366586,1123065,"aerobe","aerobic"
"652","RS_GCF_000378405.1",97.32,0.07,100,0,48.0371952933038,3964271,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Succinimonas;Succinimonas amylolytica","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Succinimonas","Succinimonas amylolytica","Scaffold","none","GCA_000378405.1","none","none","representative genome",83769,1265507,"anaerobe","anaerobic"
"653","RS_GCF_001653795.1",96.15,0.77,87.85,1.64,68.3278566750727,6085092,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Roseateles;Roseateles sp001653795","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Roseateles","Roseateles sp001653795","Complete Genome","China: Mt. Zijing; Nanjing; Jiangsu","GCA_001653795.1","none","forest soil","na",1658665,1658665,"aerobe","aerobic"
"654","RS_GCF_005889725.1",100,8.8,98.41,3.38,70.9970393029485,13613686,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea;Nonomuraea zeae","Bacteria","Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Nonomuraea zeae","Contig","China: Heilongjiang province; Harbin","GCA_005889725.1","none","rhizosphere soil","representative genome",1642303,1642303,"aerobe","aerobic"
"655","RS_GCF_003602235.1",100,1.42,99.41,1.58,66.8539801659819,4711041,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Microbacteriaceae;Cryobacterium;Cryobacterium melibiosiphilum","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Microbacteriaceae","Cryobacterium","Cryobacterium melibiosiphilum","Contig","China","GCA_003602235.1","none","glacier ice","representative genome",995039,995039,"aerobe","aerobic"
"656","RS_GCF_002006995.1",100,0.45,99.95,0.94,54.0430584699992,5015434,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Izhakiella;Izhakiella australiensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Izhakiella","Izhakiella australiensis","Scaffold","Australia: south australia","GCA_002006995.1","none","desert","representative genome",1926881,1926881,"aerobe","aerobic"
"657","RS_GCF_007995095.1",99.99,0.01,99.5,0,64.4653243259854,2587073,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus_C;Sphingorhabdus_C soli","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus_C","Sphingorhabdus_C soli","Contig","Norway","GCA_007995095.1","none","arctic soil","representative genome",2601267,2601267,"aerobe","aerobic"
"658","RS_GCF_000400735.1",100,0.47,99.73,1.42,40.0210604757274,4078922,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter tandoii","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter tandoii","Scaffold","Australia: Bendigo; Victoria","GCA_000400735.1","none","activated sludge plant","na",202954,1120927,"obligate aerobe","aerobic"
"659","RS_GCF_001544515.1",99.99,0.1,99.6,0.65,62.5986041090517,8201357,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia;Caballeronia terrestris","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia","Caballeronia terrestris","Contig","none","GCA_001544515.2","none","soil","representative genome",1226301,1226301,"aerobe","aerobic"
"660","RS_GCF_000711725.1",99.1,2.79,99.5,2.49,69.7416912176134,6428469,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;Roseomonas aerilata","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Roseomonas aerilata","Contig","South Korea: Suwon region","GCA_000711725.1","none","none","representative genome",452982,1123060,"aerobe","aerobic"
"661","RS_GCF_004005485.1",100,0.49,99.52,0.09,63.1727659884439,3843870,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium algorifonticola","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium algorifonticola","Contig","Taiwan","GCA_004005485.1","none","water","representative genome",2008318,2008318,"aerobe","aerobic"
"662","RS_GCF_014641695.1",100,0.39,99.93,0.55,60.2793763286251,4516511,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Chelativorans;Chelativorans aestuarii","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Chelativorans","Chelativorans aestuarii","Scaffold","none","GCA_014641695.1","none","none","representative genome",1735103,1735103,"aerobe","aerobic"
"663","RS_GCF_000173915.1",99.96,1.36,98.08,0.86,30.8756116297323,1916192,TRUE,"Bacteria;Bacillota;Bacilli;Staphylococcales;Gemellaceae;Gemella;Gemella haemolysans","Bacteria","Bacillota","Bacilli","Staphylococcales","Gemellaceae","Gemella","Gemella haemolysans","Contig","none","GCA_000173915.1","none","biological product [ENVO:02000043]","na",1379,546270,"anaerobe","anaerobic"
"664","RS_GCF_000829675.1",99.99,0.52,99.73,2.21,39.0307017477436,3961794,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter rudis","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter rudis","Contig","none","GCA_000829675.1","none","none","na",632955,632955,"aerobe","aerobic"
"665","RS_GCF_000174435.1",97.71,0.33,100,0.33,51.2851851292781,4107394,TRUE,"Bacteria;Desulfobacterota_I;Desulfovibrionia;Desulfovibrionales;Desulfonatronovibrionaceae;Desulfonatronospira;Desulfonatronospira thiodismutans","Bacteria","Desulfobacterota_I","Desulfovibrionia","Desulfovibrionales","Desulfonatronovibrionaceae","Desulfonatronospira","Desulfonatronospira thiodismutans","Scaffold","Russia: Altai","GCA_000174435.1","none","sediment from a highly alkaline saline soda lake on the Kulunda Steppe","representative genome",488939,555779,"anaerobe","anaerobic"
"666","RS_GCF_014636865.1",99.99,0.35,99.84,0.48,48.621724204402,5925444,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter;Parapedobacter pyrenivorans","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Parapedobacter","Parapedobacter pyrenivorans","Scaffold","none","GCA_014636865.1","none","none","representative genome",1305674,1305674,"aerobe","aerobic"
"667","RS_GCF_000420085.1",100,5.9,99.35,1.61,50.5793148753078,6119470,TRUE,"Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfospira;Desulfospira joergensenii","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","Desulfospira","Desulfospira joergensenii","Contig","France","GCA_000420085.1","none","none","representative genome",53329,1265505,"anaerobe","anaerobic"
"668","RS_GCF_014651615.1",99.89,0.66,99.11,0.3,50.8059849510805,6413589,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomataceae;Persicitalea;Persicitalea jodogahamensis","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomataceae","Persicitalea","Persicitalea jodogahamensis","Scaffold","none","GCA_014651615.1","none","none","representative genome",402147,402147,"aerobe","aerobic"
"669","RS_GCF_000708755.2",100,0,98.97,1.15,44.3779278283279,4129127,TRUE,"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus_P;Bacillus_P indicus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus_P","Bacillus_P indicus","Contig","India","GCA_000708755.2","none","arsenic-contaminated aquifer","na",246786,1458122,"aerobe","aerobic"
"670","RS_GCF_000975055.1",100,0.07,98.27,0,62.7283773011509,2460989,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Demequinaceae;Demequina;Demequina sediminicola","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Demequinaceae","Demequina","Demequina sediminicola","Scaffold","none","GCA_000975055.1","none","none","representative genome",1095026,1095026,"anaerobe","anaerobic"
"671","RS_GCF_014205675.1",100,0.12,100,0.25,64.6019304901674,4464517,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Novispirillum;Novispirillum itersonii_A","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Novispirillum","Novispirillum itersonii_A","Scaffold","none","GCA_014205675.1","none","none","na",189,189,"aerobe","aerobic"
"672","RS_GCF_000380985.1",100,0.51,99.45,0.55,43.1458443349391,4776693,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;Proteiniphilum acetatigenes","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum acetatigenes","Scaffold","China","GCA_000380985.1","none","none","representative genome",294710,1123008,"anaerobe","anaerobic"
"673","RS_GCF_900129365.1",99.83,0.07,99.17,0.48,26.5277248477344,2747337,TRUE,"Bacteria;Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium_AH;Clostridium_AH fallax","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium_AH","Clostridium_AH fallax","Contig","none","GCA_900129365.1","none","none","representative genome",1533,1533,"anaerobe","anaerobic"
"674","RS_GCF_900119165.1",99.81,1.56,100,0.49,71.8746818668963,9312140,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis australiensis","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis australiensis","Contig","none","GCA_900119165.1","none","none","representative genome",546364,546364,"obligate aerobe","aerobic"
"675","RS_GCF_000423625.1",100,1.53,99,1.48,71.7821323778187,5056835,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia asaccharolytica","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia asaccharolytica","Scaffold","none","GCA_000423625.1","none","none","representative genome",54010,1123024,"obligate aerobe","aerobic"
"676","RS_GCF_000007145.1",100,0.01,99.64,0,65.0685595365957,5076188,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas campestris","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas campestris","Complete Genome","none","GCA_000007145.1","none","none","na",339,190485,"aerobe","aerobic"
"677","RS_GCF_014646635.1",99.95,0.19,98.67,0.5,42.0315208518395,3640324,TRUE,"Bacteria;Bacillota;Bacilli;Bacillales_D;Amphibacillaceae;Lentibacillus;Lentibacillus kapialis","Bacteria","Bacillota","Bacilli","Bacillales_D","Amphibacillaceae","Lentibacillus","Lentibacillus kapialis","Scaffold","none","GCA_014646635.1","none","none","representative genome",340214,340214,"obligate aerobe","aerobic"
"678","RS_GCF_000472905.1",100,2.67,99.2,0.4,53.6873005307801,3398558,TRUE,"Bacteria;Bacillota;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Alicyclobacillus_A;Alicyclobacillus_A pomorum","Bacteria","Bacillota","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus_A","Alicyclobacillus_A pomorum","Scaffold","Japan","GCA_000472905.1","none","none","representative genome",204470,1111479,"obligate aerobe","aerobic"
"679","RS_GCF_003258295.1",98.65,2.69,97.42,1.84,71.8177876050833,8432874,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Streptomycetales;Streptomycetaceae;Streptacidiphilus;Streptacidiphilus pinicola","Bacteria","Actinomycetota","Actinomycetes","Streptomycetales","Streptomycetaceae","Streptacidiphilus","Streptacidiphilus pinicola","Scaffold","South Korea","GCA_003258295.1","none","pine grove soil","representative genome",2219663,2219663,"aerobe","aerobic"
"680","RS_GCF_014174215.1",100,0.8,100,1.79,65.1376462779698,4296956,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconacetobacter;Gluconacetobacter tumulicola","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter","Gluconacetobacter tumulicola","Contig","Japan","GCA_014174215.1","none","environmental","representative genome",1017177,1017177,"aerobe","aerobic"
"681","RS_GCF_019456655.1",100,0.29,99.34,0.19,67.8803028022158,5998503,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium diernhoferi","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium diernhoferi","Complete Genome","none","GCA_019456655.1","none","none","representative genome",1801,1801,"obligate aerobe","aerobic"
"682","RS_GCF_000295095.1",99.95,0.15,99.76,0.95,71.1984398504113,2932944,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces timonensis","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces timonensis","Scaffold","France: Marseille","GCA_000295095.1","none","human clinical osteo-articular sample","representative genome",1288391,521393,"anaerobe","anaerobic"
"683","RS_GCF_001293735.1",99.94,0.02,99.18,0.55,48.1107956362538,1641621,TRUE,"Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus gorillae","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus gorillae","Contig","none","GCA_001293735.1","none","none","representative genome",1450649,1450649,"anaerobe","anaerobic"
"684","RS_GCF_014647075.1",100,0.06,98.72,0,67.7954583858828,3574422,TRUE,"Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus aerophilus","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus aerophilus","Scaffold","none","GCA_014647075.1","none","none","representative genome",522488,522488,"aerobe","aerobic"
"685","RS_GCF_000348905.1",99.82,0.08,99.34,0.99,54.8338701546176,3207463,TRUE,"Bacteria;Bacillota;Bacilli;Bacillales_A;Planococcaceae;Bhargavaea;Bhargavaea cecembensis","Bacteria","Bacillota","Bacilli","Bacillales_A","Planococcaceae","Bhargavaea","Bhargavaea cecembensis","Contig","Indian Ocean","GCA_000348905.1","none","Chagos Laccadive Ridge","representative genome",394098,1235279,"aerobe","aerobic"
"686","RS_GCF_003958645.1",99.99,0.25,99.51,0,54.2021066930158,6192739,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga rhizosphaerae","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga rhizosphaerae","Contig","South Korea: Buyeo-gun; Chungcheongnam-do","GCA_003958645.1","none","rhizosphere of a tomato plant","representative genome",1864947,1864947,"aerobe","aerobic"
"687","RS_GCF_001552735.1",100,0.26,100,0,70.4735632425723,3802660,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Cellulomonadaceae;Sanguibacter;Sanguibacter suarezii","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Cellulomonadaceae","Sanguibacter","Sanguibacter suarezii","Contig","none","GCA_001552735.1","none","none","representative genome",60921,1223525,"aerobe","aerobic"
"688","RS_GCF_000298235.1",100,0.01,99.46,0,67.5797974221746,4941607,TRUE,"Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Gordonia;Gordonia namibiensis","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Gordonia","Gordonia namibiensis","Contig","none","GCA_000298235.1","none","none","representative genome",168480,1208314,"aerobe","aerobic"
