ID,designation_header,strain_number_header,is_type_strain_header,species,domain,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID,Genome Sequence database
,,,,,,anaerobe,,,
140877,CC-HIH038,"BCRC 80909, JCM 30827, CECT 9207",1,Azospirillum agricola,Bacteria,facultative aerobe,2918249483,1720247,img
,,,,,,obligate aerobe,2928819513,1720247,img
134232,DS2,"NCCB 100108, LMG 23617, CIP 109702",1,Azospirillum canadense,Bacteria,obligate aerobe,2928826531,191,img
134013,CC-LY743,"BCRC 80505, JCM 18688, LMG 27264",1,Azospirillum fermentarium,Bacteria,aerobe,2928835693,191,img
,,,,,,obligate aerobe,,,
140653,SgZ-5,"CCTCC AB 2012021, KACC 16605",1,Azospirillum humicireducens,Bacteria,facultative anaerobe,2687453243,1226968,img
,,,,,,obligate aerobe,,,
166212,B2,"VKM B-3233, KCTC 62613",1,Azospirillum palustre,Bacteria,aerobe,2756170225,2044885,img
,,,,,,obligate aerobe,,,
13999,,"DSM 19922, CCUG 55431, IMMIB TAR-3",1,Azospirillum picis,Bacteria,aerobe,2928263341,488438,img
166472,M2T2B2,"KACC 14063, NBRC 106460",1,Azospirillum ramasamyi,Bacteria,aerobe,2846940193,682998,img
,,,,,,obligate aerobe,,,
13998,,"DSM 19657, CCUG 53966, IMMIB AFH-6",1,Azospirillum rugosum,Bacteria,aerobe,2928256362,416170,img
14000,Bv-S,"DSM 21654, VKM B-2513",1,Azospirillum thiophilum,Bacteria,aerobe,2630968760,528244,img
,,,,,,obligate aerobe,2645728001,528244,img
12725,"3, M.B. 2.3.","DSM 378, ATCC 19360, NCIB 8948, VKM B-1615, CCUG 53670, LMG 1265, BCRC 14360, CIP 106282, IAM 12683, JCM 20742, CECT 9204, ICMP 8673, NCAIM B.01800, NCIMB 8948, NRRL B-14367, NRRL B-14640",1,Azotobacter beijerinckii,Bacteria,obligate aerobe,2597490340,170623,img
134249,,"NRRL B-41736, DSM 18954, CBD 119, CIP 109795",1,Gottfriedia acidiceleris,Bacteria,facultative anaerobe,2916917969,371036,img
,,,,,,obligate aerobe,,,
130196,"Bi.FFUP1, BiFFUP1, Bi<sub>FFUP1</sub>, Bi.<sub>FFUP1</sub>","DSM 26896, CCUG 64113",0,Bacillus altitudinis,Bacteria,aerobe,2630968313,293387,img
1260,TM1,"DSM 19092, CIP 108784, JCM 12523, KCTC 10634",1,Bacillus alveayuensis,Bacteria,aerobe,2926480455,279215,img
,,,,,,obligate aerobe,,,
577,,"DSM 1314, NCIB 8292, NRS 341, CIP 103264, ATCC 7046, NRRL : NRS-341",0,Domibacillus aminovorans,Bacteria,obligate aerobe,2744054583,29332,img
1077,,"DSM 7264, ATCC 49337, NRRL NRS-213, CCUG 28524, JCM 9070, CIP 107159, IFO 15539, KCTC 3701, LMG 16797, NBRC 15539, NCIMB 12899",1,Bacillus atrophaeus,Bacteria,aerobe,2731957673,1220587,img
,,,,,,obligate aerobe,,,
602,"663, Henry 110, 110, NRS-663","DSM 23, ATCC 14574, CCM 2113, NCIB 9364, NCTC 10333, CCUG 7412, CIP 58.52, IAM 11059, NRS 663, JCM 12228, BCRC 11699, CECT 17, HAMBI 1885, IFO 15713, KCTC 3739, LMG 7122, MTCC 1458, NBIMCC 2210, NBRC 15713, NCFB 1760, NCIMB 9364, NRRL NRS-663, VKM B-496, NCDO 1760",1,Bacillus badius,Bacteria,aerobe,2636415587,1455,img
,,,,,,obligate aerobe,2731957658,1348627,img
1069,B1,"DSM 5391, ATCC 49005, CCM 3364, LMD 79.7, NCIB 12555, CIP 103477, LMG 9582, NCIMB 12555",1,Bacillus benzoevorans,Bacteria,facultative anaerobe,2861430565,1456,img
133067,,"DSM 103394, CGMCC 1.12820, KCTC 33514, EGI 6500252",1,Bacillus capparidis,Bacteria,aerobe,2901263064,1840411,img
,,,,,,obligate aerobe,,,
1281,PN5,"DSM 21993, JCM 15113, LMG 23935, MTCC 9127, CCUG 55698",1,Solibacillus cecembensis,Bacteria,aerobe,2744054488,459347,img
,,,,,,obligate aerobe,,,
624,"13, 971, Ford 13, Gibson 971","DSM 31, ATCC 14579, CCM 2010, LMG 6923, NCIB 9373, NCTC 2599, CCUG 7414, JCM 2152, BCRC 10603, BCRC 11026, CECT 148, CECT 5050, CGMCC 1.3760, CIP 66.24, HAMBI 1887, IAM 12605, IAM 14174, IFO 15305, KCTC 3624, NBRC 15305, NCAIM B.02078, NCCB 75008, NCFB 1771, NCIMB 9373, NRRL B-3711, VKM B-504, VTT E-93143",1,Bacillus cereus,Bacteria,facultative anaerobe,637000017,226900,img
1299,,"DSM 23837, CCUG 57835, KCTC 13566, CAU 348",1,Bacillus chungangensis,Bacteria,aerobe,2926488731,587633,img
,,,,,,obligate aerobe,,,
132385,NE-14,"DSM 28970, JCM 30397",1,Bacillus ectoiniformans,Bacteria,facultative anaerobe,2901210109,1494429,img
,,,,,,obligate aerobe,,,
139432,BL3-6,"CIP 111018, JCM 15801, KCTC 13318",1,Bacillus gaemokensis,Bacteria,aerobe,2585428004,574375,img
,,,,,,,2724679201,574375,img
132364,FJAT-4402,"DSM 29500, CGMCC 1.12902",1,Bacillus gobiensis,Bacteria,aerobe,2651869764,1441095,img
,,,,,,obligate aerobe,,,
1847,"WS 1087, 6721","CCUG 47676, CIP 67.21, DSM 8802, ATCC 25096, JCM 12400, BCRC 14861",1,Bacillus halotolerans,Bacteria,aerobe,2716884207,260554,img
,,,,,,obligate aerobe,,,
1154,"K 13, K13","DSM 12751, JCM 9943, ATCC 700778, CGMCC 1.3650, CIP 105746, KCTC 3838, LMG 18497",1,Bacillus horti,Bacteria,obligate aerobe,2926514369,77523,img
1289,DV7-B-4,"DSM 22148, KCTC 13429, BGSC 3A28, NRRL B-23052, CIP 110137",1,Bacillus inaquosorum,Bacteria,facultative anaerobe,2534682116,1236548,img
,,,,,,,2875488945,1236548,img
1265,,"DSM 19098, JCM 13438, KCCM 90025, ABB 0427, CIP 109493, LMG 24756, SMC 4352-1",1,Bacillus infantis,Bacteria,obligate aerobe,2928344086,324767,img
166102,YSP-3,"ACCC 60365, KCTC 33934",1,Alteribacter lacisalsi,Bacteria,aerobe,2916893477,2045244,img
1322,BL4-6,"DSM 26473, JCM 15802, KCTC 13319, CIP 111019",1,Bacillus manliponensis,Bacteria,aerobe,2585428017,574376,img
158585,NC2-31,"KCTC 33721, MCCC 1K01239",1,Bacillus marinisedimentorum,Bacteria,aerobe,2744054838,1821260,img
,,,,,,facultative anaerobe,,,
1093,RO-H-1,"DSM 9205, ATCC 51516, NRRL B-14698, JCM 12230, BCRC 17124, CIP 104095, IFO 15718, KCTC 3706, LMG 17797, NBRC 15718, NCIMB 13391, VTT E-011771",1,Bacillus mojavensis,Bacteria,aerobe,2545555827,1051501,img
,,,,,,,2579778565,1051501,img
745,"273, NRS-273","DSM 2048, ATCC 6462, CCUG 26678, NRRL B-14799, NCTC 12974, LMG 7128, CIP 103472, NRRL B-14811",1,Bacillus mycoides,Bacteria,aerobe,2623621012,1405,img
,,,,,,facultative anaerobe,643886175,526997,img
130193,,"DSM 24834, JCM 18975, KCTC 13786, NCCP 168",1,Rossellomorea pakistanensis,Bacteria,aerobe,2901141119,992288,img
,,,,,,obligate aerobe,,,
1103,"PN 137, DP44","DSM 8725, ATCC 700166, CIP 105304",1,Alkalihalobacillus pseudalcaliphilus,Bacteria,facultative anaerobe,2630968651,79884,img
,,,,,,obligate aerobe,,,
1151,,"DSM 12442, NRRL B-617, JCM 12231, CIP 105700, LMG 18993, KCTC 3862, NBRC 101232, BCRC 17606, BCRC 17107",1,Bacillus pseudomycoides,Bacteria,facultative anaerobe,643886172,527000,img
,,,,,,obligate aerobe,,,
756,272,"DSM 27, ATCC 7061, CCM 2144, IFO 12092, JCM 2508, NBRC 12092, NCIB 9369, NCTC 10337, NRS 272, BCRC 11706, CCUG 26015, CECT 29, CGMCC 1.3533, CIP 52.67, IAM 12469, IAM 14177, KCTC 3348, LMG 7132, NCIMB 9369, NRIC 1010, NRRL NRS-272, VKM B-508, VTT E-95572, NCDO 1766",1,Bacillus pumilus,Bacteria,obligate aerobe,2880148112,1408,img
,,,,,,,642791616,536229,img
1264,FO-36b,"DSM 19292, ATCC BAA-1126, LMG 26769, NBRC 100820, CIP 109412",1,Bacillus safensis subsp. safensis,Bacteria,facultative anaerobe,2576861488,1178541,img
1302,PD-A10,"DSM 25261, BCC 22614, KACC 16244, KCTC 13613, CIP 110217",1,Bacillus siamensis,Bacteria,aerobe,2548877022,1177185,img
,,,,,,facultative anaerobe,,,
815,NRS-173,"DSM 4216, IFO 15311, NBRC 15311, NRRL NRS-173, CCUG 27413, LMG 12526, JCM 9076, CGMCC 1.3752, CIP 103790",1,Bacillus smithii,Bacteria,aerobe,2654588021,1479,img
,,,,,,,2681812984,1220590,img
1201,"L87-10, TG8-8","DSM 13779, NRRL B-23154, JCM 12232, CIP 107271, KCTC 13918, NBRC 101234",1,Bacillus sonorensis,Bacteria,facultative anaerobe,2571042128,1220591,img
,,,,,,,2731957676,1220591,img
1193,TU-B-10,"DSM 15029, NRRL B-23049, JCM 12233, CIP 106094, LMG 19156, NBRC 101239",1,Bacillus spizizenii,Bacteria,obligate aerobe,2511231064,1052585,img
1187,"231, NRS-231","DSM 347, ATCC 6633, CCM 1999, IAM 1069, NCIB 8054, NCTC 10400, WDCM 00003, CCUG 10779, JCM 20035, AHU 1038, BCRC 10447, BUCSAV 425, CECT 356, CIP 52.62, IFO 3134, IID 506, IMET 10880, JCM 2499, KCTC 2189, LMG 8197, NBRC 3134, NCIMB 8054, NRIC 1022, NRIC 1521, NRRL B-209, NRRL B-354, OUT 8351, PCI 219, RIMD 0225013, VTT E-85231, NCDO 1733, CMCC (B) 63501",0,Bacillus spizizenii,Bacteria,aerobe,2734481915,1300158,img
,,,,,,obligate aerobe,647000211,703612,img
1172,"Marburg, 744","DSM 10, ATCC 6051, CCM 2216, IAM 12118, IFO 13719, JCM 1465, LMG 7135, NBRC 13719, NCIB 3610, NCTC 3610, NRS 744, CCUG 163 B, BCRC 10255, CECT 39, CIP 52.65, IFO 16412, IMET 10758, KCTC 3135, NBRC 16412, NCFB 1769, NCIMB 3610, NRRL B-4219, NRRL NRS-744, VKM B-501, VKM B-758, VKM B-919, VTT E-97009, UCCCB117, NCDO 1769",1,Bacillus subtilis,Bacteria,facultative anaerobe,2912902859,135461,img
,,,,,,,2916868644,535026,img
,,,,,,,2916888191,1423,img
,,,,,,,643886130,535026,img
967,,"DSM 2109, ATCC 11774, NCTC 8236, CCUG 50054, NCIMB 8739, ICI 2/4, CIP 1.83",0,Bacillus subtilis,Bacteria,obligate aerobe,2925634727,1423,img
140573,RA9,"LMG 29736, CECT 9170",1,Siminovitchia terrae,Bacteria,aerobe,2881644220,1914933,img
1006,NRS-996,"DSM 2046, ATCC 10792, CCM 19, NCIB 9134, CCUG 7429, JCM 20386, BCRC 14683, CCEB 457, CECT 197, CIP 53.137, CN 3624, HAMBI 252, HAMBI 478, IAM 12077, LBG B-4034, LMD 70.8, LMG 7138, NBRC 101235, NCAIM B.01292, NCCB 70008, NCDO 1146, NCFB 1146, NCIMB 9134, NCIMB 9207, NRRL HD-735, NRRL NRS-996, PCM 1853, VKM B-439, VKM B-454, VTT E-86245, WDCM 00221",1,Bacillus thuringiensis,Bacteria,facultative anaerobe,2912849059,527031,img
,,,,,,,2916873227,527031,img
,,,,,,,643886085,527031,img
1150,"DV1-F-3, DV-1-F3","DSM 11031, NRRL B-14890, JCM 12234, ATCC 700092, BCRC 17183, CIP 104792, KCTC 3707, LMG 18725, NBRC 101236",1,Bacillus vallismortis,Bacteria,facultative anaerobe,2547132131,1051502,img
,,,,,,,2880152234,72361,img
23706,CBMB205,"DSM 28326, KACC 17006, KACC 13105, NCCB 100236",0,Bacillus velezensis,Bacteria,aerobe,2630968484,492670,img
140879,DW5-4,"MCCC 1A08372, LMG 27144, KCTC 33531",1,Bacillus zhangzhouensis,Bacteria,obligate aerobe,2585427675,1178540,img
1606,A40,"DSM 15896, JCM 10556, CCUG 51929, BCRC 81230",1,Bacteroides acidifaciens,Bacteria,anaerobe,2565956591,1235814,img
,,,,,,obligate anaerobe,,,
1617,3452A,"DSM 19024, ATCC 43185, CCUG 38735, CIP 104201, JCM 9498, NCTC 13051, VPI 3452A",1,Bacteroides caccae,Bacteria,anaerobe,2806310690,411901,img
,,,,,,obligate aerobe,2806310790,47678,img
,,,,,,obligate anaerobe,640963023,411901,img
131518,I48,"DSM 26085, KCTC 15547",1,Bacteroides caecimuris,Bacteria,anaerobe,2718217776,1796613,img
,,,,,,,2773857902,1796613,img
1623,CRE21,"DSM 14838, CCUG 44979, JCM 15632",1,Bacteroides cellulosilyticus,Bacteria,anaerobe,643886111,537012,img
,,,,,,obligate anaerobe,,,
1628,A 20,"DSM 22519, JCM 16067, CCUG 60911, YIT 12056, KCTC 15128",1,Bacteroides clarus,Bacteria,anaerobe,2695420967,762984,img
,,,,,,,651324010,762984,img
1613,PC 139,"DSM 18011, CCUG 50528, JCM 13475, NRRL B-41113",1,Bacteroides coprosuis,Bacteria,anaerobe,2503982039,679937,img
1583,10128,"DSM 20697, ATCC 27754, NCTC 11155, CCUG 9559, CIP 104285, JCM 12986, VPI T5-42B-1",1,Bacteroides eggerthii,Bacteria,anaerobe,2811995250,28111,img
,,,,,,obligate anaerobe,642979334,483216,img
158883,KGMB02408,"DSM 107828, KCTC 15687, JCM 34008",1,Bacteroides faecalis,Bacteria,anaerobe,2916288202,2447885,img
,,,,,,obligate anaerobe,,,
22936,ST37,"DSM 26883, CCUG 60873, JCM 17102, KCTC 15666",1,Bacteroides faecichinchillae,Bacteria,anaerobe,2585427860,1236513,img
,,,,,,,2695420934,871325,img
1631,MAJ27,"CCUG 60914, DSM 24798, JCM 16478, KCTC 5823",1,Bacteroides faecis,Bacteria,anaerobe,2548876788,1077285,img
,,,,,,,2693429916,1077285,img
1610,199,"DSM 17565, JCM 13345, CCUG 53890",1,Bacteroides finegoldii,Bacteria,anaerobe,2562617142,483215,img
,,,,,,obligate anaerobe,,,
1629,,"CCUG 60912, DSM 22534, JCM 16101, YIT 12057, KCTC 15129",1,Bacteroides fluxus,Bacteria,anaerobe,651324011,763034,img
,,,,,,obligate anaerobe,,,
1585,"EN-2, Onslow","DSM 2151, ATCC 25285, JCM 11019, NCTC 9343, CCUG 4856, CCM 4712, VPI 2553, CIP 77.16, KCTC 3688, KCTC 5013, LMG 10263, LMG 11261, NCDO 2217",1,Bacteroides fragilis,Bacteria,anaerobe,2916283602,272559,img
,,,,,,obligate anaerobe,637000024,272559,img
134478,HSP 40,"CIP 104785, ATCC 51477, JCM 11017",0,Bacteroides fragilis,Bacteria,anaerobe,2585427861,1235816,img
,,,,,,obligate anaerobe,,,
1590,N6,"DSM 3978, ATCC 43244, CCUG 54927",1,Bacteroides galacturonicus,Bacteria,anaerobe,2757320519,384639,img
1616,C35,"DSM 18171, JCM 13658, CCUG 55423",1,Bacteroides gallinarum,Bacteria,anaerobe,2519899680,1121096,img
,,,,,,,2585427862,1121096,img
1624,XDT-1,"CCUG 60910, DSM 19988, JCM 15093, KCTC 15146",1,Bacteroides graminisolvens,Bacteria,anaerobe,2524614553,1121097,img
,,,,,,,2585427863,1121097,img
1591,P 36-108,"DSM 20613, ATCC 35417, CCUG 15421, JCM 6297",1,Bacteroides helcogenes,Bacteria,anaerobe,649633012,693979,img
,,,,,,obligate anaerobe,,,
1609,341,"CCUG 53889, DSM 17393, JCM 13265",1,Bacteroides intestinalis,Bacteria,anaerobe,642791621,471870,img
23776,UasXn-3,"DSM 26991, JCM 19020",1,Bacteroides luti,Bacteria,anaerobe,2695420932,1297750,img
139989,,"DSM 18764, ATCC BAA-998, CCUG 48943, JCM 12987, WAL 11050",1,Bacteroides nordii,Bacteria,anaerobe,2585427864,1203608,img
1630,,"DSM 22535, JCM 16102, CCUG 60913, YIT 12058, KCTC 15130",1,Bacteroides oleiciplenus,Bacteria,anaerobe,2534681837,742727,img
1592,LRA 044 07 88,"DSM 1896, ATCC 8483, NCTC 11153, CCUG 4943, CIP 103756, JCM 5824, KCTC 5011, BCRC 10623",1,Bacteroides ovatus,Bacteria,anaerobe,2684623200,411476,img
,,,,,,obligate anaerobe,2693429857,28116,img
,,,,,,,641380449,411476,img
1621,SV434,"DSM 19291, JCM 14649, CCUG 60909",1,Bacteroides propionicifaciens,Bacteria,anaerobe,2517093002,1121099,img
,,,,,,,2585427866,1121099,img
1594,P39-88,"DSM 20611, ATCC 35418, CCUG 15419, JCM 6294",1,Bacteroides pyogenes,Bacteria,anaerobe,2524614554,1121100,img
,,,,,,,2574180081,1121100,img
1593,160,"DSM 19673, ATCC 43331, CCUG 25929, JCM 10003, NCTC 11853, VPB 160",0,Bacteroides pyogenes,Bacteria,anaerobe,2600255083,1235813,img
,,,,,,obligate anaerobe,2814123406,310300,img
,,,,,,,2829847570,310300,img
1595,P 38024,"CCUG 15420, CCM 3725, DSM 20612, ATCC 35419, JCM 6292",0,Bacteroides pyogenes,Bacteria,anaerobe,2576861690,1235809,img
133840,Rs-03,"JCM 10512, CCUG 62153, DSM 105720",1,Bacteroides reticulotermitis,Bacteria,anaerobe,2609459943,1445607,img
,,,,,,,2830041218,1133319,img
22935,ST28,"DSM 26882, CCUG 59334, JCM 16469, JCM 16496",1,Bacteroides rodentium,Bacteria,anaerobe,2565956595,1236512,img
,,,,,,obligate anaerobe,,,
1619,,"DSM 18765, ATCC BAA-997, CCUG 48945, JCM 12988, WAL 10018",1,Bacteroides salyersiae,Bacteria,anaerobe,2531839250,1121101,img
,,,,,,,2585427949,1121101,img
,,,,,,,2916278816,1121101,img
155796,,"CCUG 59335, JCM 16497",0,Phocaeicola sartorii,Bacteria,anaerobe,2565956596,1236538,img
,,,,,,obligate anaerobe,,,
131249,ST161,"DSM 26884, CCUG 60872, JCM 17103",1,Bacteroides stercorirosoris,Bacteria,anaerobe,2585427867,1236514,img
,,,,,,obligate anaerobe,2700988705,871324,img
1618,B5-21,"DSM 19555, ATCC 43183, CIP 104203, JCM 9496, CCUG 38733, VPI B5-21, NCTC 13053",1,Bacteroides stercoris,Bacteria,anaerobe,2693429855,46506,img
,,,,,,obligate anaerobe,2916293514,449673,img
,,,,,,,641736196,449673,img
1599,"E50 (VPI 5482), VPI-5482","DSM 2079, ATCC 29148, NCTC 10582, CCUG 10774, CIP 104206, VPI 5482, JCM 5827, CGMCC 1.5132",1,Bacteroides thetaiotaomicron,Bacteria,anaerobe,637000026,226186,img
130975,AP1,"DSM 26083, CSUR P194",1,Bacteroides timonensis,Bacteria,anaerobe,2600255085,1203465,img
,,,,,,obligate anaerobe,,,
1604,,"CCUG 4942, JCM 5828, CIP 103695, KCTC 5204, DSM 6597, ATCC 8492, VPI 0061, CGMCC 1.5133, NCTC 13054",1,Bacteroides uniformis,Bacteria,anaerobe,2693429911,820,img
,,,,,,microaerophile,2904834026,821,img
,,,,,,obligate anaerobe,2916274279,411479,img
,,,,,,,641380447,411479,img
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,Bacteroides xylanisolvens,Bacteria,anaerobe,650377911,657309,img
,,,,,,obligate anaerobe,,,
158509,,"DSM 108226, CGMCC 4.7547, KCTC 49229, YIM 75507",1,Bailinhaonella thermotolerans,Bacteria,aerobe,2861773553,2339229,img
,,,,,,obligate aerobe,,,
17640,17S,"DSM 16304, ATCC BAA-736, JCM 11970",1,Balnearium lithotrophicum,Bacteria,anaerobe,2724679708,223788,img
11267,Apr-87,"DSM 16621, ATCC 51285, CIP 103589, CCUG 32555",1,Balneatrix alpica,Bacteria,aerobe,2558860993,1121103,img
133009,KHALHBd91,"DSM 28579, JCM 19909",1,Balneicella halophila,Bacteria,anaerobe,2756170310,1537566,img
17738,"13IX/A01/164, 131X/A01/164","DSM 17893, CIP 109092, OOB 256",1,Balneola vulgaris,Bacteria,aerobe,2515154152,1121104,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate aerobe,,,
12519,,"DSM 21032, JCM 15079, YIT 11860",1,Barnesiella intestinihominis,Bacteria,anaerobe,2529292932,742726,img
12518,C46,"CCUG 55593, DSM 18177, JCM 13660",1,Barnesiella viscericola,Bacteria,anaerobe,2509276067,880074,img
3935,39,"DSM 24617, CGMCC 4.6864, JCM 19663",1,Barrientosiimonas humi,Bacteria,aerobe,2814122977,999931,img
,,,,,,obligate aerobe,,,
1637,91-4,"DSM 21464, CCUG 43828, CIP 106692",1,Bartonella bovis,Bacteria,facultative anaerobe,2597489901,1094491,img
,,,,,,microaerophile,,,
23782,BR11-1,"DSM 28538, JCM 17709, KCTC 23909",1,Bartonella callosciuri,Bacteria,aerobe,2861730104,686223,img
,,,,,,microaerophile,,,
1639,A828,"DSM 21431, CCUG 47497, CIP 107869",1,Bartonella chomelii,Bacteria,facultative anaerobe,2829854532,236402,img
,,,,,,microaerophile,,,
131133,R18,"DSM 102055, NCTC 12862, CCUG 50770, CIP 107026, NCTC 12682",1,Bartonella doshiae,Bacteria,microaerophile,2519899787,1094553,img
,,,,,,,2808606804,1094553,img
,,,,,,,2861153995,33044,img
23777,"G5436, Houston-1","DSM 28221, ATCC 49882, CCUG 30454, CIP 103737",1,Bartonella henselae,Bacteria,facultative anaerobe,2826296999,283166,img
,,,,,,microaerophile,637000027,283166,img
1643,,"DSM 23650, CIP 109861, JCM 15567, Fuji 18-1",1,Bartonella japonica,Bacteria,microaerophile,2928252644,357761,img
1635,C-29,"DSM 21570, ATCC 700693, CIP 107025, CCUG 50773",1,Bartonella koehlerae,Bacteria,facultative anaerobe,2588253861,1134510,img
,,,,,,microaerophile,,,
1642,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1,Bartonella rattaustraliani,Bacteria,microaerophile,2551306134,1205681,img
1632,"E251, R1","DSM 13525, CCUG 50783, CIP 107819, NCTC 13165",1,Bartonella schoenbuchensis,Bacteria,microaerophile,2773858026,687861,img
,,,,,,obligate aerobe,,,
1644,,"DSM 23649, CIP 109862, JCM 15566, Fuji 23-1",1,Bartonella silvatica,Bacteria,microaerophile,2928179098,357760,img
23778,"93-CO1, 93-C01","DSM 28220, ATCC 51672, CCUG 45779, CIP 104960",1,Bartonella vinsonii subsp. berkhoffii,Bacteria,microaerophile,2545555862,1408318,img
11757,JF4016,"DSM 22022, CCUG 57335",1,Basfia succiniciproducens,Bacteria,aerobe,2593339214,653940,img
,,,,,,facultative anaerobe,,,
,,,,,,microaerophile,,,
,,,,,,obligate aerobe,,,
130149,JF4266,"DSM 24701, CIP 110308",1,Basilea psittacipulmonis,Bacteria,microaerophile,2597490181,1072685,img
,,,,,,obligate aerobe,2914311346,1072685,img
5363,,"DSM 19936, CCUG 55508, WCC 4188",1,Bavariicoccus seileri,Bacteria,anaerobe,2523533538,1121105,img
,,,,,,facultative anaerobe,,,
,,,,,,microaerophile,,,
,,,,,,obligate aerobe,,,
17716,"BA134, BA 134T","DSM 15883, CIP 108006, LMG 21964, UCCCB126",1,Belliella baltica,Bacteria,aerobe,2509276058,866536,img
,,,,,,obligate aerobe,,,
140946,5C,"VKM B-2724, KCTC 32194",1,Belliella buryatensis,Bacteria,aerobe,2706794919,1500549,img
24721,CC-SAL-25,"DSM 46698, BCRC 17883, KCTC 13248",1,Belliella pelovolcani,Bacteria,aerobe,2681813558,529505,img
38,CP2C,"DSM 16746, ATCC BAA-1043, CIP 109215",1,Belnapia moabensis,Bacteria,aerobe,2571042000,1121106,img
39,,"DSM 23312, CGMCC 1.10758, CPCC 100156",1,Belnapia rosea,Bacteria,aerobe,2596583546,938405,img
10446,M37,"DSM 17675, ATCC 14686, CCUG 2155, IAM 14975, NCTC 10295, CIP 72.16, JCM 21446, NBRC 102155",1,Bergeriella denitrificans,Bacteria,microaerophile,2731957682,1349758,img
,,,,,,obligate aerobe,2831695663,494,img
5486,"CL 544/80, D658","DSM 16783, ATCC 43767, CCUG 12568, CCUG 30535, CIP 103041, IFO (now NBRC) 16014, JCM 21249, LMG 12996, LMG 8351, NCTC 11660, CCM 4559, CDC D658, IAM 14550, NBRC 16014",1,Bergeyella zoohelcum,Bacteria,microaerophile,2537561901,883096,img
,,,,,,obligate aerobe,2808606794,1015,img
11297,RED65,"DSM 23232, CCUG 52064, CECT 7074",1,Bermanella marisrubri,Bacteria,aerobe,638341141,207949,img
,,,,,,facultative anaerobe,,,
1678,2163-026,"DSM 12333, ATCC BAA-8, IFO 16432, NBRC 16432, CCUG 43141, HKI 0122, JCM 11478, CIP 106362, NCIMB 13614",1,Beutenbergia cavernae,Bacteria,aerobe,643692008,471853,img
,,,,,,obligate aerobe,,,
12009,ge10,"DSM 19037, CGMCC 1.6762",1,Bhargavaea beijingensis,Bacteria,aerobe,2619618820,426756,img
12011,DSE10,"DSM 22132, JCM 14375, LMG 24411",1,Bhargavaea cecembensis,Bacteria,aerobe,2537561877,1235279,img
,,,,,,obligate anaerobe,,,
12010,ge14,"DSM 19038, CGMCC 1.6763",1,Bhargavaea ginsengi,Bacteria,aerobe,2617270926,426757,img
23197,ZMA-19,"DSM 26128, CCM 8429, LMG 27071, ZMA 19, CIP 110542",1,Bhargavaea ullalensis,Bacteria,aerobe,2928332132,1265685,img
11747,"A92, S110, serovar 3/T15, CNP 908","DSM 23101, ATCC 29703, CCUG 27190, CIP 103829, NCTC 10370, CCM 4733, HIM 808-2",1,Bibersteinia trehalosi,Bacteria,microaerophile,2784746803,47735,img
,,,,,,obligate aerobe,,,
1749,LISLUCIII-P2,"DSM 22766, CCM 7728, JCM 18048, KCTC 15183",1,Bifidobacterium actinocoloniiforme,Bacteria,anaerobe,2600254971,1437605,img
,,,,,,,2645727657,1437605,img
1682,"E194a (Variant a), E194a","DSM 20083, ATCC 15703, CCUG 18363, NCTC 11814, JCM 1275, BCRC 14606, CCM 4987, CCUG 17359, CCUG 45213, CECT 5781, CGMCC 1.2190, CIP 64.59, KCTC 3216, LMG 10502, VTT E-981074, NCDO 2204",1,Bifidobacterium adolescentis,Bacteria,anaerobe,639633010,367928,img
1684,RU 424 (Mannitol fermenter),"DSM 20087, JCM 1251, KCTC 3459, LMG 11579",0,Bifidobacterium adolescentis,Bacteria,anaerobe,2561511099,1410644,img
1748,Eg1,"DSM 24849, JCM 15918, KCTC 5756, BCRC 80257",0,Bifidobacterium adolescentis,Bacteria,anaerobe,2597490242,1437612,img
,,,,,,,2671180988,1437612,img
23790,,"DSM 26737, JCM 18761, KCTC 15610, MRM 3/1",1,Bifidobacterium aesculapii,Bacteria,anaerobe,2706794564,1329411,img
1685,B677,"DSM 20098, ATCC 27535, JCM 7096, BCRC 14665, CCUG 24039, CGMCC 1.2265, CIP 104167, JCM 1221, KCTC 3236, LMG 11039, NCFB 2236",1,Bifidobacterium angulatum,Bacteria,anaerobe,2562617143,518635,img
,,,,,,microaerophile,2600254972,1683,img
,,,,,,,2700989373,518635,img
1687,P23,"DSM 20105, ATCC 27536, JCM 1253, KCTC 3126, LMG 18905",0,Bifidobacterium animalis,Bacteria,anaerobe,2651869807,1365953,img
1736,R101-8,"DSM 20104, ATCC 25527, CIP 105419, JCM 1190, BCRC 14668, CCUG 24606, CGMCC 1.2268, KCTC 3125, LMG 10508, NCFB 2242, VTT E-96663, ISL 120",1,Bifidobacterium animalis subsp. animalis,Bacteria,anaerobe,2513237236,703613,img
,,,,,,,2597490250,302912,img
1733,UR1,"CCUG 37979, DSM 10140, CIP 105265, JCM 10602, BCRC 17394, CGMCC 1.2226, LMG 18314, NRRL B-41405, VTT E-97847, WDCM 00223",1,Bifidobacterium animalis subsp. lactis,Bacteria,anaerobe,644736330,555970,img
,,,,,,obligate anaerobe,,,
