"accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"RS_GCF_000178355.1",95.02,1.32,95.83,0.23,41.2067314167702,1604161,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium vaginale","Scaffold","none","GCA_000178355.1","none","none","na",2702,585528,"facultative anaerobe","facultative"
"RS_GCF_000420505.1",98.28,0.13,100,0,46.6499670302185,1847146,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Alloscardovia;s__Alloscardovia omnicolens","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Bifidobacteriaceae","g__Alloscardovia","s__Alloscardovia omnicolens","Contig","Sweden","GCA_000420505.1","none","none","representative genome",419015,1120979,"facultative anaerobe","facultative"
"RS_GCF_014203115.1",100,0.54,99.68,0.32,60.8487254679787,5326151,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia massiliensis","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Afipia","s__Afipia massiliensis","Contig","France","GCA_014203115.1","none","none","representative genome",211460,211460,"facultative anaerobe","facultative"
"RS_GCF_000308295.2",99.97,0.3,99.66,1.11,60.8400464314104,5334146,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia birgiae","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Afipia","s__Afipia birgiae","Scaffold","none","GCA_000308295.2","none","none","representative genome",151414,1197906,"facultative anaerobe","facultative"
"RS_GCF_000429045.1",100,0.24,99.37,2.4,71.7784235881013,5245321,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Salinarimonas;s__Salinarimonas rosea","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Salinarimonas","s__Salinarimonas rosea","Scaffold","China","GCA_000429045.1","none","none","representative genome",552063,1123229,"facultative anaerobe","facultative"
"RS_GCF_014645695.1",100,0.27,99.37,1.99,70.5846397603608,5122378,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Salinarimonas;s__Salinarimonas ramus","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Salinarimonas","s__Salinarimonas ramus","Contig","none","GCA_014645695.1","none","none","representative genome",690164,690164,"facultative anaerobe","facultative"
"RS_GCF_000285915.1",99.91,0.66,98.26,0.29,62.3220824241826,2349262,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium ravenspurgense","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Brevibacteriaceae","g__Brevibacterium","s__Brevibacterium ravenspurgense","Contig","none","GCA_000285915.1","none","none","na",479117,1176165,"facultative anaerobe","facultative"
"RS_GCF_003986935.1",100,0.01,99.95,0.46,64.8246286383599,7529251,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia kururiensis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Paraburkholderia","s__Paraburkholderia kururiensis","Contig","Japan","GCA_003986935.1","none","TCE-polluted aquifer","na",984307,1236956,"facultative anaerobe","facultative"
"RS_GCF_902498995.1",100,0.23,100,1.68,66.7393516212885,7608177,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia anthina","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderia","s__Burkholderia anthina","Contig","none","GCA_902498995.1","none","Rhizosphere soil","representative genome",179879,179879,"facultative anaerobe","facultative"
"RS_GCF_000785435.2",100,0.07,100,1.34,64.0149349350225,7317626,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia sacchari","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Paraburkholderia","s__Paraburkholderia sacchari","Contig","Brazil: Sao Paulo; Piracicaba","GCA_000785435.2","none","sugarcane plantation soil","representative genome",159450,159450,"facultative anaerobe","facultative"
"RS_GCF_001544455.2",100,0.55,97.18,2.65,60.1474344866129,6874511,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia sordidicola","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Caballeronia","s__Caballeronia sordidicola","Contig","none","GCA_001544455.2","none","fungus","representative genome",196367,196367,"facultative anaerobe","facultative"
"RS_GCF_000196015.1",100,1.22,99.94,0.69,63.5309904659852,6913352,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus metallidurans","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus metallidurans","Complete Genome","none","GCA_000196015.1","none","none","na",119219,266264,"facultative anaerobe","facultative"
"RS_GCF_000016345.1",99.98,0.04,99.87,0.21,44.834104348712,2159490,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter asymbioticus","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polynucleobacter","s__Polynucleobacter asymbioticus","Complete Genome","none","GCA_000016345.1","none","none","representative genome",576611,312153,"facultative anaerobe","facultative"
"RS_GCF_900187875.1",99.97,0,95.75,0,43.0979026653781,1626636,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter victoriensis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polynucleobacter","s__Polynucleobacter victoriensis","Contig","none","GCA_900187875.1","none","none","representative genome",2049319,2049319,"facultative anaerobe","facultative"
"RS_GCF_003065385.1",99.99,0.03,93.7,0.76,48.1577346839786,1851737,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter acidiphobus","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polynucleobacter","s__Polynucleobacter acidiphobus","Chromosome","France: Corsica","GCA_003065385.1","none","freshwater","representative genome",556053,556053,"facultative anaerobe","facultative"
"RS_GCF_003072505.1",99.99,0.9,96.47,1.2,40.0351613307944,3157893,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter rarus","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polynucleobacter","s__Polynucleobacter rarus","Scaffold","USA: Crystal Bog Lake","GCA_003072505.1","none","freshwater","representative genome",556055,556055,"facultative anaerobe","facultative"
"RS_GCF_003065365.1",99.98,0.09,94.95,0.7,49.5063213814482,1995529,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter difficilis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polynucleobacter","s__Polynucleobacter difficilis","Complete Genome","Armenia: Lake Sevan","GCA_003065365.1","none","freshwater","representative genome",556054,556054,"facultative anaerobe","facultative"
"RS_GCF_000813325.1",100,8.81,99.87,3.92,43.8190587624882,2833185,TRUE,"d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum cavolei","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Sulfurospirillaceae","g__Sulfurospirillum","s__Sulfurospirillum cavolei","Contig","none","GCA_000813325.1","none","none","representative genome",366522,1349788,"facultative anaerobe","facultative"
"RS_GCF_001889065.1",99.74,0.74,99.41,0.13,39.6539091697122,2519568,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Suttonella_A;s__Suttonella_A ornithocola","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Cardiobacteriales","f__Cardiobacteriaceae","g__Suttonella_A","s__Suttonella_A ornithocola","Contig","none","GCA_001889065.1","none","none","na",279832,279832,"facultative anaerobe","facultative"
"RS_GCF_000744255.1",99.95,0.3,99.45,0.55,35.1005374878495,2619222,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium divergens","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium","s__Carnobacterium divergens","Contig","none","GCA_000744255.1","none","none","na",2748,1449336,"facultative anaerobe","facultative"
"RS_GCF_000744375.1",100,2.31,99.45,2.28,34.2850101498777,4041428,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium gallinarum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium","s__Carnobacterium gallinarum","Contig","none","GCA_000744375.1","none","none","representative genome",2749,1449338,"facultative anaerobe","facultative"
"RS_GCF_000744945.1",100,2.3,99.45,3.64,34.4297494951235,3876691,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium maltaromaticum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium","s__Carnobacterium maltaromaticum","Contig","none","GCA_000744945.1","none","none","na",2751,1449341,"facultative anaerobe","facultative"
"RS_GCF_001437035.1",100,1.47,99.45,3.64,34.3080199516451,3576147,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium maltaromaticum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium","s__Carnobacterium maltaromaticum","Scaffold","none","GCA_001437035.1","none","none","na",2751,2751,"facultative anaerobe","facultative"
"RS_GCF_000744185.1",100,0.11,99.45,1.29,34.6488474302628,2352439,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A funditum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium_A","s__Carnobacterium_A funditum","Contig","Antarctica","GCA_000744185.1","none","none","representative genome",2752,1449337,"facultative anaerobe","facultative"
"RS_GCF_000744115.1",99.98,1.22,99.45,1.84,35.9727460668661,2616870,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A alterfunditum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium_A","s__Carnobacterium_A alterfunditum","Contig","Antarctica","GCA_000744115.1","none","none","na",28230,1449335,"facultative anaerobe","facultative"
"RS_GCF_000746825.1",100,0.97,99.45,1.28,34.8521869979277,2748608,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A inhibens","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium_A","s__Carnobacterium_A inhibens","Contig","none","GCA_000746825.1","none","none","na",147709,1449339,"facultative anaerobe","facultative"
"RS_GCF_900102725.1",99.9,1.74,99.45,2.64,35.1574958359383,2762327,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A viridans","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium_A","s__Carnobacterium_A viridans","Contig","none","GCA_900102725.1","none","none","representative genome",174587,174587,"facultative anaerobe","facultative"
"RS_GCF_000744285.1",100,2.23,99.45,3.64,35.4117529527352,2662616,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A pleistocenium","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium_A","s__Carnobacterium_A pleistocenium","Contig","USA: Alaska","GCA_000744285.1","none","none","representative genome",181073,1449343,"facultative anaerobe","facultative"
"RS_GCF_000708655.1",89.75,0.33,97.81,1.11,35.2178272686492,2349614,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium_A;s__Carnobacterium_A jeotgali","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Carnobacterium_A","s__Carnobacterium_A jeotgali","Contig","South Korea: Daejeon","GCA_000708655.1","none","traditional Korean fermented food; jeotgal","na",545534,545534,"facultative anaerobe","facultative"
"RS_GCF_000160675.1",99.35,0.04,99.45,0.18,37.6490311415806,1947166,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella adiacens","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Granulicatella","s__Granulicatella adiacens","Scaffold","none","GCA_000160675.1","none","biological product [ENVO:02000043]","na",46124,638301,"facultative anaerobe","facultative"
"RS_GCF_020735385.1",99.52,0.19,98.91,0.55,33.6648295268219,1890620,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella elegans_B","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Granulicatella","s__Granulicatella elegans_B","Complete Genome","Germany: Braunschweig","GCA_020735385.1","none","none","na",137732,137732,"facultative anaerobe","facultative"
"RS_GCF_900111135.1",98.51,0.07,99.45,0,33.9276842137303,2135967,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella balaenopterae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Granulicatella","s__Granulicatella balaenopterae","Scaffold","none","GCA_900111135.1","none","none","representative genome",137733,137733,"facultative anaerobe","facultative"
"RS_GCF_900111355.1",100,2.4,97.81,2.12,35.1777308061294,2821134,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Isobaculum;s__Isobaculum melis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Isobaculum","s__Isobaculum melis","Scaffold","none","GCA_900111355.1","none","none","representative genome",142588,142588,"facultative anaerobe","facultative"
"RS_GCF_900114235.1",99.99,1.69,98.36,2.68,35.4389497561564,2554689,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Marinilactibacillus;s__Marinilactibacillus piezotolerans","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Marinilactibacillus","s__Marinilactibacillus piezotolerans","Scaffold","none","GCA_900114235.1","none","none","representative genome",258723,258723,"facultative anaerobe","facultative"
"RS_GCF_900101525.1",97.08,0.32,97.81,1.28,34.688254409659,2508584,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Marinilactibacillus;s__Marinilactibacillus psychrotolerans","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Marinilactibacillus","s__Marinilactibacillus psychrotolerans","Contig","none","GCA_900101525.1","none","none","na",191770,191770,"facultative anaerobe","facultative"
"RS_GCF_900112935.1",100,2.17,98.91,3.21,46.8025590180509,3197326,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Trichococcus;s__Trichococcus pasteurii","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Trichococcus","s__Trichococcus pasteurii","Scaffold","none","GCA_900112935.1","none","none","na",43064,43064,"facultative anaerobe","facultative"
"RS_GCF_900114465.1",100,3.26,98.72,2.82,45.6322779007892,2931143,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Trichococcus;s__Trichococcus palustris","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Aerococcaceae","g__Trichococcus","s__Trichococcus palustris","Scaffold","none","GCA_900114465.1","none","none","na",140314,140314,"facultative anaerobe","facultative"
"RS_GCF_000425865.1",99.96,0.31,99.45,0.74,37.6476390654528,2134509,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Lacticigenium;s__Lacticigenium naphthae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Lacticigenium","s__Lacticigenium naphthae","Scaffold","Japan","GCA_000425865.1","none","none","representative genome",515351,1122143,"facultative anaerobe","facultative"
"RS_GCF_000212695.1",100,0.08,100,0.58,74.7243307150103,4266344,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas fimi","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Cellulomonas","s__Cellulomonas fimi","Complete Genome","none","GCA_000212695.1","none","soil","representative genome",1708,590998,"facultative anaerobe","facultative"
"RS_GCF_013359775.1",99.99,1.6,100,0,72.4482234364886,4650270,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas humilata","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Cellulomonas","s__Cellulomonas humilata","Contig","USA","GCA_013359775.1","none","soil","representative genome",144055,144055,"facultative anaerobe","facultative"
"RS_GCF_014201095.1",100,0.76,99.42,0.1,74.9877649361894,4489147,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas hominis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Cellulomonas","s__Cellulomonas hominis","Contig","none","GCA_014201095.1","none","none","na",156981,156981,"facultative anaerobe","facultative"
"RS_GCF_001552375.1",100,0.05,99.81,0.67,75.3345229611701,3967067,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas iranensis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Cellulomonas","s__Cellulomonas iranensis","Contig","none","GCA_001552375.1","none","none","na",76862,1223509,"facultative anaerobe","facultative"
"RS_GCF_012396125.1",100,0.62,100,0.58,72.9235688573158,4018048,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas denverensis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Cellulomonas","s__Cellulomonas denverensis","Contig","USA","GCA_012396125.1","none","blood","na",264297,264297,"facultative anaerobe","facultative"
"RS_GCF_000767165.1",99.98,0.83,99.13,0,72.2341889594049,3183361,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea;s__Actinotalea bogoriensis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Actinotalea","s__Actinotalea bogoriensis","Contig","Kenya: Lake Bogoria","GCA_000767165.1","none","sediment of the littoral zone of Lake Bogoria","representative genome",301388,1386082,"facultative anaerobe","facultative"
"RS_GCF_016862675.1",100,1.29,99.71,0,73.4695081185701,4900124,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas chitinilytica","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Cellulomonas","s__Cellulomonas chitinilytica","Contig","South Korea:Daejeon","GCA_016862675.1","none","Compost at a cattle farm","representative genome",398759,398759,"facultative anaerobe","facultative"
"RS_GCF_001692445.1",100,0.02,100,0,72.2792264358139,4651508,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia;s__Oerskovia enterophila","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Oerskovia","s__Oerskovia enterophila","Contig","Hungary: Budapest","GCA_001692445.1","none","millipede feces","representative genome",43678,43678,"facultative anaerobe","facultative"
"RS_GCF_016907365.1",99.99,0.41,100,0,72.3133327739806,4326429,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia;s__Oerskovia paurometabola","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Oerskovia","s__Oerskovia paurometabola","Contig","none","GCA_016907365.1","none","none","representative genome",162170,162170,"facultative anaerobe","facultative"
"RS_GCF_016907235.1",99.92,0.17,100,0.58,72.4034289761009,4453691,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia;s__Oerskovia jenensis","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Oerskovia","s__Oerskovia jenensis","Contig","none","GCA_016907235.1","none","none","representative genome",162169,162169,"facultative anaerobe","facultative"
"GB_GCA_000767215.1",100,1.85,99.42,0.29,73.8113573667538,3617740,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea;s__Actinotalea fermentans","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Actinotalea","s__Actinotalea fermentans","Contig","France: Montaubert; Essonne","GCA_000767215.1","none","municipal dumping ground","na",43671,862422,"facultative anaerobe","facultative"
"RS_GCF_000701465.1",99.98,0,100,0,70.8211650105986,2948319,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Paraoerskovia;s__Paraoerskovia marina","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Cellulomonadaceae","g__Paraoerskovia","s__Paraoerskovia marina","Scaffold","Japan","GCA_000701465.1","none","none","na",545619,1122933,"facultative anaerobe","facultative"
"RS_GCF_900141845.1",98.82,0.8,99.19,1.23,27.903047984873,4987666,TRUE,"d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AG;s__Clostridium_AG cavendishii","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_AG","s__Clostridium_AG cavendishii","Scaffold","none","GCA_900141845.1","none","none","representative genome",349931,1121302,"facultative anaerobe","facultative"
"RS_GCF_000686705.1",99.98,1.37,99.19,2.47,29.3748190963976,4101506,TRUE,"d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_Z;s__Clostridium_Z hydrogeniformans","d__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_Z","s__Clostridium_Z hydrogeniformans","Scaffold","USA","GCA_000686705.1","none","none","representative genome",349933,1121319,"facultative anaerobe","facultative"
"RS_GCF_002104455.1",100,0.43,99.66,1.88,41.9143311151666,4035170,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia chukchiensis","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Alteromonadaceae","g__Cognaticolwellia","s__Cognaticolwellia chukchiensis","Contig","none","GCA_002104455.1","none","sea water","representative genome",641665,641665,"facultative anaerobe","facultative"
"GB_GCA_003268905.1",100,0.74,99.81,0.38,63.2618149490675,4114188,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax defluvii","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Acidovorax","s__Acidovorax defluvii","Scaffold","none","GCA_003268905.1","none","none","na",86669,86669,"facultative anaerobe","facultative"
"RS_GCF_000422885.1",99.37,1.18,99.77,0.47,58.5894182877549,7048723,TRUE,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__Ottowia thiooxydans","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Ottowia","s__Ottowia thiooxydans","Scaffold","Germany","GCA_000422885.1","none","none","representative genome",219182,1122623,"facultative anaerobe","facultative"
